key,paper,bmp,response_class,response_var,treatment,control,sign,treatment_control_flag,response_flag,response_flag_notes,species,link,error_class,xbar_e,n_e,sd_e,se_e,lcl_e,ucl_e,xbar_c,n_c,sd_c,se_c,lcl_c,ucl_c,notes,baseline_survival,beta_is_derived,survival_scale
55UE5VCT,Blank et al. 2011,edge_and_shrub_habitat,abundance,density,filter strips,non-buffered field edges,1,apples,0,NA,breeding_shrub_scrub_species,NA,confidence_intervals,3.9,67,NA,NA,2.8,5.3,0.7,15,NA,NA,0.2,1.5,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,abundance,density,filter strips,non-buffered field edges,1,apples,0,NA,wintering_species,NA,confidence_intervals,3.6,67,NA,NA,1.9,6.3,0.6,15,NA,NA,-0.1,2,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,provide_overwintering_habitat,abundance,density,filter strips,non-buffered field edges,1,apples,0,NA,wintering_species,NA,confidence_intervals,3.6,67,NA,NA,1.9,6.3,0.6,15,NA,NA,-0.1,2,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,edge_and_shrub_habitat,abundance,density,filter strips,non-buffered field edges,1,apples,0,NA,wintering_species,NA,confidence_intervals,3.6,67,NA,NA,1.9,6.3,0.6,15,NA,NA,-0.1,2,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,abundance,density,filter strips,non-buffered field edges,1,apples,0,NA,wintering_shrub_scrub_species,NA,confidence_intervals,2.9,67,NA,NA,1.6,4.7,0.2,15,NA,NA,-0.3,1.1,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,provide_overwintering_habitat,abundance,density,filter strips,non-buffered field edges,1,apples,0,NA,wintering_shrub_scrub_species,NA,confidence_intervals,2.9,67,NA,NA,1.6,4.7,0.2,15,NA,NA,-0.3,1.1,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,edge_and_shrub_habitat,abundance,density,filter strips,non-buffered field edges,1,apples,0,NA,wintering_shrub_scrub_species,NA,confidence_intervals,2.9,67,NA,NA,1.6,4.7,0.2,15,NA,NA,-0.3,1.1,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,plant_nwsg,abundance,density,Warm-season grass filter strips,Cool-season grass filter strips,1,apples,0,NA,common_yellowthroat,NA,confidence_intervals,0.9,45,NA,NA,0.5,1.4,0.3,22,NA,NA,0,0.8,"They only report these stats because there was a detectable difference for this species. For all other species, there was not a detectable difference.",NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,abundance,density,narrow filter strips (<30),medium filter strips (30-60 m),-1,apples,0,NA,breeding_species,NA,confidence_intervals,11.2,35,NA,NA,6.5,15.8,7.6,14,NA,NA,2,13.2,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,edge_and_shrub_habitat,abundance,density,narrow filter strips (<30),medium filter strips (30-60 m),-1,apples,0,NA,breeding_species,NA,confidence_intervals,11.2,35,NA,NA,6.5,15.8,7.6,14,NA,NA,2,13.2,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,abundance,density,narrow filter strips (<30),wide filter strips (>60 m),-1,apples,0,NA,breeding_species,NA,confidence_intervals,11.2,35,NA,NA,6.5,15.8,5.6,18,NA,NA,0.5,10.6,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,edge_and_shrub_habitat,abundance,density,narrow filter strips (<30),wide filter strips (>60 m),-1,apples,0,NA,breeding_species,NA,confidence_intervals,11.2,35,NA,NA,6.5,15.8,5.6,18,NA,NA,0.5,10.6,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,abundance,density,medium filter strips (30-60 m),wide filter strips (>60 m),-1,oranges,0,NA,breeding_species,NA,confidence_intervals,7.6,14,NA,NA,2,13.2,5.6,18,NA,NA,0.5,10.6,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,edge_and_shrub_habitat,abundance,density,medium filter strips (30-60 m),wide filter strips (>60 m),-1,oranges,0,NA,breeding_species,NA,confidence_intervals,7.6,14,NA,NA,2,13.2,5.6,18,NA,NA,0.5,10.6,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,abundance,density,narrow filter strips (<30),medium filter strips (30-60 m),-1,apples,0,NA,breeding_grassland_species,NA,confidence_intervals,1.8,35,NA,NA,0.9,3.1,2.4,14,NA,NA,1,4.8,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,edge_and_shrub_habitat,abundance,density,narrow filter strips (<30),medium filter strips (30-60 m),-1,apples,0,NA,breeding_grassland_species,NA,confidence_intervals,1.8,35,NA,NA,0.9,3.1,2.4,14,NA,NA,1,4.8,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,abundance,density,narrow filter strips (<30),wide filter strips (>60 m),-1,apples,0,NA,breeding_grassland_species,NA,confidence_intervals,1.8,35,NA,NA,0.9,3.1,2,18,NA,NA,0.9,3.6,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,edge_and_shrub_habitat,abundance,density,narrow filter strips (<30),wide filter strips (>60 m),-1,apples,0,NA,breeding_grassland_species,NA,confidence_intervals,1.8,35,NA,NA,0.9,3.1,2,18,NA,NA,0.9,3.6,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,abundance,density,medium filter strips (30-60 m),wide filter strips (>60 m),-1,oranges,0,NA,breeding_grassland_species,NA,confidence_intervals,2.4,14,NA,NA,1,4.8,2,18,NA,NA,0.9,3.6,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,edge_and_shrub_habitat,abundance,density,medium filter strips (30-60 m),wide filter strips (>60 m),-1,oranges,0,NA,breeding_grassland_species,NA,confidence_intervals,2.4,14,NA,NA,1,4.8,2,18,NA,NA,0.9,3.6,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,abundance,density,narrow filter strips (<30),medium filter strips (30-60 m),-1,apples,0,NA,breeding_shrub_scrub_species,NA,confidence_intervals,5.9,35,NA,NA,3.5,9.7,4,14,NA,NA,1.9,7.7,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,edge_and_shrub_habitat,abundance,density,narrow filter strips (<30),medium filter strips (30-60 m),-1,apples,0,NA,breeding_shrub_scrub_species,NA,confidence_intervals,5.9,35,NA,NA,3.5,9.7,4,14,NA,NA,1.9,7.7,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,abundance,density,narrow filter strips (<30),wide filter strips (>60 m),-1,apples,0,NA,breeding_shrub_scrub_species,NA,confidence_intervals,5.9,35,NA,NA,3.5,9.7,2,18,NA,NA,0.9,3.8,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,edge_and_shrub_habitat,abundance,density,narrow filter strips (<30),wide filter strips (>60 m),-1,apples,0,NA,breeding_shrub_scrub_species,NA,confidence_intervals,5.9,35,NA,NA,3.5,9.7,2,18,NA,NA,0.9,3.8,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,abundance,density,medium filter strips (30-60 m),wide filter strips (>60 m),-1,oranges,0,NA,breeding_shrub_scrub_species,NA,confidence_intervals,4,14,NA,NA,1.9,7.7,2,18,NA,NA,0.9,3.8,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,edge_and_shrub_habitat,abundance,density,medium filter strips (30-60 m),wide filter strips (>60 m),-1,oranges,0,NA,breeding_shrub_scrub_species,NA,confidence_intervals,4,14,NA,NA,1.9,7.7,2,18,NA,NA,0.9,3.8,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,species_richness,species_richness,narrow filter strips (<30),medium filter strips (30-60 m),-1,apples,0,NA,breeding_species,NA,confidence_intervals,4.5,35,NA,NA,2.4,6.5,4.4,14,NA,NA,2.1,6.8,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,edge_and_shrub_habitat,species_richness,species_richness,narrow filter strips (<30),medium filter strips (30-60 m),-1,apples,0,NA,breeding_species,NA,confidence_intervals,4.5,35,NA,NA,2.4,6.5,4.4,14,NA,NA,2.1,6.8,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,species_richness,species_richness,narrow filter strips (<30),wide filter strips (>60 m),-1,apples,0,NA,breeding_species,NA,confidence_intervals,4.5,35,NA,NA,2.4,6.5,3.2,18,NA,NA,0.9,5.5,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,edge_and_shrub_habitat,species_richness,species_richness,narrow filter strips (<30),wide filter strips (>60 m),-1,apples,0,NA,breeding_species,NA,confidence_intervals,4.5,35,NA,NA,2.4,6.5,3.2,18,NA,NA,0.9,5.5,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,species_richness,species_richness,medium filter strips (30-60 m),wide filter strips (>60 m),-1,oranges,0,NA,breeding_species,NA,confidence_intervals,4.4,14,NA,NA,2.1,6.8,3.2,18,NA,NA,0.9,5.5,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,edge_and_shrub_habitat,species_richness,species_richness,medium filter strips (30-60 m),wide filter strips (>60 m),-1,oranges,0,NA,breeding_species,NA,confidence_intervals,4.4,14,NA,NA,2.1,6.8,3.2,18,NA,NA,0.9,5.5,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,abundance,density,narrow filter strips (<30),medium filter strips (30-60 m),-1,apples,0,NA,wintering_species,NA,confidence_intervals,4.9,25,NA,NA,2.4,9.2,1.3,8,NA,NA,-0.01,4.5,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,provide_overwintering_habitat,abundance,density,narrow filter strips (<30),medium filter strips (30-60 m),-1,apples,0,NA,wintering_species,NA,confidence_intervals,4.9,25,NA,NA,2.4,9.2,1.3,8,NA,NA,-0.01,4.5,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,abundance,density,narrow filter strips (<30),wide filter strips (>60 m),-1,apples,0,NA,wintering_species,NA,confidence_intervals,4.9,25,NA,NA,2.4,9.2,9.1,7,NA,NA,3,24.5,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,provide_overwintering_habitat,abundance,density,narrow filter strips (<30),wide filter strips (>60 m),-1,apples,0,NA,wintering_species,NA,confidence_intervals,4.9,25,NA,NA,2.4,9.2,9.1,7,NA,NA,3,24.5,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,abundance,density,medium filter strips (30-60 m),wide filter strips (>60 m),-1,oranges,0,NA,wintering_species,NA,confidence_intervals,1.3,8,NA,NA,-0.01,4.5,9.1,7,NA,NA,3,24.5,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,provide_overwintering_habitat,abundance,density,medium filter strips (30-60 m),wide filter strips (>60 m),-1,oranges,0,NA,wintering_species,NA,confidence_intervals,1.3,8,NA,NA,-0.01,4.5,9.1,7,NA,NA,3,24.5,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,abundance,density,narrow filter strips (<30),medium filter strips (30-60 m),-1,apples,0,NA,wintering_shrub_scrub_species,NA,confidence_intervals,3.4,25,NA,NA,1.6,6.4,1.1,8,NA,NA,-0.01,3.9,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,provide_overwintering_habitat,abundance,density,narrow filter strips (<30),medium filter strips (30-60 m),-1,apples,0,NA,wintering_shrub_scrub_species,NA,confidence_intervals,3.4,25,NA,NA,1.6,6.4,1.1,8,NA,NA,-0.01,3.9,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,abundance,density,narrow filter strips (<30),wide filter strips (>60 m),-1,apples,0,NA,wintering_shrub_scrub_species,NA,confidence_intervals,3.4,25,NA,NA,1.6,6.4,3.8,7,NA,NA,1,10.3,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,provide_overwintering_habitat,abundance,density,narrow filter strips (<30),wide filter strips (>60 m),-1,apples,0,NA,wintering_shrub_scrub_species,NA,confidence_intervals,3.4,25,NA,NA,1.6,6.4,3.8,7,NA,NA,1,10.3,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,abundance,density,medium filter strips (30-60 m),wide filter strips (>60 m),-1,oranges,0,NA,wintering_shrub_scrub_species,NA,confidence_intervals,1.1,8,NA,NA,-0.01,3.9,3.8,7,NA,NA,1,10.3,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,provide_overwintering_habitat,abundance,density,medium filter strips (30-60 m),wide filter strips (>60 m),-1,oranges,0,NA,wintering_shrub_scrub_species,NA,confidence_intervals,1.1,8,NA,NA,-0.01,3.9,3.8,7,NA,NA,1,10.3,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,species_richness,species_richness,narrow filter strips (<30),medium filter strips (30-60 m),-1,apples,0,NA,wintering_species,NA,confidence_intervals,1.5,25,NA,NA,1,2,0.8,8,NA,NA,0,1.6,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,provide_overwintering_habitat,species_richness,species_richness,narrow filter strips (<30),medium filter strips (30-60 m),-1,apples,0,NA,wintering_species,NA,confidence_intervals,1.5,25,NA,NA,1,2,0.8,8,NA,NA,0,1.6,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,species_richness,species_richness,narrow filter strips (<30),wide filter strips (>60 m),-1,apples,0,NA,wintering_species,NA,confidence_intervals,1.5,25,NA,NA,1,2,2.8,7,NA,NA,1.9,3.7,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,provide_overwintering_habitat,species_richness,species_richness,narrow filter strips (<30),wide filter strips (>60 m),-1,apples,0,NA,wintering_species,NA,confidence_intervals,1.5,25,NA,NA,1,2,2.8,7,NA,NA,1.9,3.7,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,species_richness,species_richness,medium filter strips (30-60 m),wide filter strips (>60 m),-1,oranges,0,NA,wintering_species,NA,confidence_intervals,0.8,8,NA,NA,0,0.16,2.8,7,NA,NA,1.9,3.7,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,provide_overwintering_habitat,species_richness,species_richness,medium filter strips (30-60 m),wide filter strips (>60 m),-1,oranges,0,NA,wintering_species,NA,confidence_intervals,0.8,8,NA,NA,0,0.16,2.8,7,NA,NA,1.9,3.7,NA,NA,NA,NA
7SS4IEI5,Blank et al. 2011b,provide_overwintering_habitat,abundance,abundance,unmowed buffers,mowed buffers,1,apples,0,NA,wintering_species,NA,standard_error,11,13,NA,3.1,NA,NA,0.3,13,NA,0.2,NA,NA,"For the delay_hay treatment, the treatment and control should be switched",NA,NA,NA
