key,paper,bmp,response_class,treatment,control,response_var,sign,treatment_control_flag,response_flag,response_flag_notes,species,link,error_class,beta,n,sd,se,lcl,ucl,xbar_e,n_e,sd_e,se_e,lcl_e,ucl_e,xbar_c,n_c,sd_c,se_c,lcl_c,ucl_c,baseline_survival,beta_is_derived,notes,survival_scale
4G526MHA,Coon et al. 2022,plant_nwsg,abundance,Herbicide spraying and seeding (native seed mix),Herbicide spraying only,Total nests per patch,1,apples,0,NA,dickcissel,log,standard_error,0.63,4,NA,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,from supplemental table S4; B = B_treatment - B_control; SE = sqrt(SE_control^2 + se_treatment^2),NA
4G526MHA,Coon et al. 2022,plant_nwsg,nest_success,Herbicide spraying and seeding (native seed mix),Herbicide spraying only,Nest survival,1,apples,0,NA,dickcissel,logistic_exposure,standard_error,0.39,54,NA,0.72,NA,NA,NA,36,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,TRUE,from supplemental table S5; B = B_treatment - B_control; SE = sqrt(SE_control^2 + se_treatment^2),daily_survival
4G526MHA,Coon et al. 2022,eliminate_pesticides,abundance,Herbicide spraying only,No spraying or seeding fescue field,Male abundance per patch,-1,apples,0,NA,dickcissel,log,standard_error,0.35,4,NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,from supplemental table S4,NA
4G526MHA,Coon et al. 2022,eliminate_pesticides,abundance,Herbicide spraying only,No spraying or seeding fescue field,Total nests per patch,-1,apples,0,NA,dickcissel,log,standard_error,0.71,4,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,from supplemental table S4,NA
4G526MHA,Coon et al. 2022,eliminate_pesticides,nest_success,Herbicide spraying only,No spraying or seeding fescue field,Nest survival,-1,apples,0,NA,dickcissel,logistic_exposure,standard_error,0.98,27,NA,0.49,NA,NA,NA,18,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,FALSE,from supplemental table S5,daily_survival
LRBMJG8I,Del Valle et al. 2024,prescribed_fire,abundance,Fire disturbance,No disturbance,Abundance ratio between treatment and control,1,apples,0,NA,dickcissel,NA,standard_error,2,28,NA,0.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weird response to wrap one's head around; one year post fire; Calculated abundance ratio and SE to match our treatment and control groups,NA
LRBMJG8I,Del Valle et al. 2024,prescribed_fire,abundance,Fire disturbance,No disturbance,Abundance ratio between treatment and control,1,apples,0,NA,eastern_meadowlark,NA,standard_error,2.45,28,NA,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weird response to wrap one's head around; one year post fire,NA
LRBMJG8I,Del Valle et al. 2024,prescribed_fire,abundance,Fire disturbance,No disturbance,Abundance ratio between treatment and control,1,apples,0,NA,grasshopper_sparrow,NA,standard_error,2.83,28,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weird response to wrap one's head around; one year post fire,NA
LRBMJG8I,Del Valle et al. 2024,prescribed_fire,abundance,Fire disturbance,No disturbance,Abundance ratio between treatment and control,1,oranges,0,NA,henslows_sparrow,NA,standard_error,0.372,28,NA,0.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weird response to wrap one's head around; one year post fire,NA
KSACJCJN,Hovick and Miller 2016,edge_and_shrub_habitat,nest_success,Near (within 0.5 m^2 quadrat) woody cover,Not near (within 0.5 m^2 quadrat) woody cover,DSR,1,apples,0,NA,eastern_meadowlark,logit,standard_error_confidence_intervals,-0.07,95,NA,0.04,-0.15,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,TRUE,"Excluded: near and not-near woody veg is a questionable metric, as it seems that's on a continuous scale; study level baseline inferred from Table 1; values from the text on p 76; (just not reported as such); Error is unlikely to be on the scale of DSR",daily_survival
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Sasketchewan),1,apples,0,NA,american_goldfinch,NA,confidence_intervals,-0.28,20,NA,NA,-1.41,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Ontario),1,apples,0,NA,american_goldfinch,NA,confidence_intervals,0.31,20,NA,NA,-0.14,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Quebec),1,apples,0,NA,american_goldfinch,NA,confidence_intervals,0.5,14,NA,NA,-0.15,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Ontario),1,apples,0,NA,american_kestrel,NA,confidence_intervals,0.27,20,NA,NA,-0.92,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Quebec),1,apples,0,NA,american_kestrel,NA,confidence_intervals,-0.26,14,NA,NA,-1.46,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Sasketchewan),1,apples,0,NA,bobolink,NA,confidence_intervals,-0.28,20,NA,NA,-1.65,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Ontario),1,apples,0,NA,bobolink,NA,confidence_intervals,0.7,20,NA,NA,0.42,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Quebec),1,apples,0,NA,bobolink,NA,confidence_intervals,-0.05,14,NA,NA,-0.31,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Ontario),1,apples,0,NA,common_yellowthroat,NA,confidence_intervals,-0.31,20,NA,NA,-1.04,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Quebec),1,apples,0,NA,common_yellowthroat,NA,confidence_intervals,0.12,14,NA,NA,-0.28,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Ontario),1,apples,0,NA,eastern_meadowlark,NA,confidence_intervals,0.77,20,NA,NA,0.3,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Quebec),1,apples,0,NA,eastern_meadowlark,NA,confidence_intervals,0.79,14,NA,NA,0.22,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Ontario),1,apples,0,NA,indigo_bunting,NA,confidence_intervals,-0.81,20,NA,NA,-1.81,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Sasketchewan),1,apples,0,NA,loggerhead_shrike,NA,confidence_intervals,0.51,20,NA,NA,-1.4,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Sasketchewan),1,apples,0,NA,northern_harrier,NA,confidence_intervals,1.88,20,NA,NA,0.51,3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Ontario),1,apples,0,NA,northern_harrier,NA,confidence_intervals,-0.05,20,NA,NA,-1.02,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Sasketchewan),1,apples,0,NA,red_winged_blackbird,NA,confidence_intervals,0.58,20,NA,NA,0.18,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Ontario),1,apples,0,NA,red_winged_blackbird,NA,confidence_intervals,0.25,20,NA,NA,0.02,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Quebec),1,apples,0,NA,red_winged_blackbird,NA,confidence_intervals,-0.11,14,NA,NA,-0.49,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Sasketchewan),1,apples,0,NA,savannah_sparrow,NA,confidence_intervals,0.12,20,NA,NA,-0.21,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Ontario),1,apples,0,NA,savannah_sparrow,NA,confidence_intervals,0.06,20,NA,NA,-0.08,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Quebec),1,apples,0,NA,savannah_sparrow,NA,confidence_intervals,-0.1,14,NA,NA,-0.31,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Sasketchewan),1,apples,0,NA,song_sparrow,NA,confidence_intervals,-0.12,20,NA,NA,-0.8,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Ontario),1,apples,0,NA,song_sparrow,NA,confidence_intervals,0.07,20,NA,NA,-0.16,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Quebec),1,apples,0,NA,song_sparrow,NA,confidence_intervals,0.65,14,NA,NA,0.31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86MSLRJN,Kirk et al. 2020,eliminate_pesticides,abundance,Organic farm,Conventional farm,abundance (Ontario),1,apples,0,NA,yellow_billed_cuckoo,NA,confidence_intervals,-0.41,20,NA,NA,-1.69,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4K99KR6,Massa et al. 2024,delay_hay,occupancy,Harvest delay,No harvest delay,occupancy,1,apples,0,NA,eastern_meadowlark,NA,confidence_intervals,0.7,57,NA,NA,0.63,0.76,0.23,164,NA,NA,0.2,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4K99KR6,Massa et al. 2024,delay_hay,occupancy,Harvest delay,No harvest delay,occupancy,1,apples,0,NA,grasshopper_sparrow,NA,confidence_intervals,0.72,57,NA,NA,0.66,0.78,0.6,164,NA,NA,0.56,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDG3KUBT,Read et al. 2021,eliminate_pesticides,nest_success,Post-azinthos methyl ban,Pre-azinphos-methyl ban,fledging success,-1,grapes,0,NA,eastern_bluebird,NA,confidence_intervals,-0.11,1662,NA,NA,-0.28,0.051,NA,269,NA,NA,NA,NA,NA,1393,NA,NA,NA,NA,NA,NA,I wonder if this is a fair comparison for eliminate pesticides? Nest survival of Eastern bluebirds in conventional orchards vs. non-orchard sites,period_survival
YZC4YM2A,Robles et al. 2012,install_nest_boxes,abundance,Box addition,No box addition,Nest density,1,apples,0,NA,all_species,NA,standard_error,-0.316,18,NA,1.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue and Great tits,NA
YZC4YM2A,Robles et al. 2012,install_nest_boxes,abundance,Box addition,No box addition,Nest density,1,apples,0,NA,tits,NA,standard_error,-0.471,18,NA,0.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2BZJQK83,Shave et al. 2018,install_nest_boxes,abundance,Sites with kestrel nest boxes,Sites without kestrel nest boxes,abundance,1,apples,1,NA,frugivores,NA,standard_error,-2.03,250,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Double-check whether this is reasonable for install_nest_boxes (who is the target spp?); T: Target species was frugivores; Sample size obtained from data available online,NA
APZE5I9A,Van Doren et al. 2017,upgrade_to_darksky,abundance,Light off,Light on,Standardized peak density,1,apples,0,NA,all_species,NA,standard_error,-1.1487,52,NA,0.2014,NA,NA,NA,22,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA
5UCEGHY8,Zhao et al. 2020,upgrade_to_darksky,abundance,Yellow light,Red light,Number of birds captured,-1,apples,0,NA,all_species,log,confidence_intervals,3.5,136,NA,NA,1.47,8.34,NA,68,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA
