species,all_about_birds,article-classified,birdbase,birds_of_the_world,hand_entered,partners_in_flight,peterjohn_2006,traitdata,vgbi,vickery_1999,analysis_class,include
american_goldfinch,Open Woodlands,NA,forest; woodland; shrub; artificial,NA,NA,Open Country:  Habitat Mosaic,NA,NA,facultative grassland,NA,facultative,TRUE
american_kestrel,Grasslands,NA,forest; woodland; shrub; grasslands; artificial,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
american_oystercatcher,Shorelines,NA,coastal,NA,NA,Coasts:  Beach and Estuary,NA,NA,NA,NA,other,FALSE
american_pipit,Tundra,NA,NA,NA,NA,Tundra:  Alpine; Tundra:  Arctic; Open Country:  Developed/Disturbed; Coasts:  Beach and Estuary,NA,NA,facultative grassland,grassland obligate,obligate,TRUE
american_redstart,Forests,NA,woodland; shrub; coastal,NA,NA,Forests:  Temperate Generalist; Forests:  Tropical Generalist; Coasts:  Mangroves,NA,NA,NA,NA,other,FALSE
american_robin,Open Woodlands,NA,forest; woodland; shrub; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Generalist,NA,NA,facultative grassland,NA,facultative,TRUE
american_three_toed_woodpecker,Forests,NA,forest,NA,NA,Forests:  Boreal; Forests:  Temperate Western,NA,NA,NA,NA,other,FALSE
american_tree_sparrow,Open Woodlands,NA,woodland; shrub; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Forests:  Boreal; Open Country:  Habitat Mosaic,NA,NA,facultative grassland,NA,facultative,TRUE
american_white_pelican,Lakes and Ponds,NA,riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Lakes and Rivers; Coasts:  Saltmarsh,NA,NA,NA,NA,other,FALSE
american_wigeon,Lakes and Ponds,NA,woodland; grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Freshwater Marsh; Wetlands:  Generalist,NA,NA,NA,facultative grassland,facultative,TRUE
american_woodcock,Forests,NA,forest; woodland; shrub; artificial,NA,NA,Forests:  Temperate Eastern; Forests:  Boreal,NA,NA,facultative grassland,NA,facultative,TRUE
anhinga,Marshes,NA,riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist,NA,NA,NA,NA,other,FALSE
annas_hummingbird,Open Woodlands,NA,woodland; shrub; savannah; riparian; coastal,NA,NA,Aridlands:  Chaparral; Forests:  Temperate Western,NA,NA,NA,NA,facultative,TRUE
antillean_nighthawk,NA,NA,forest; shrub; savannah; artificial; coastal,NA,NA,Open Country Aerial:  Habitat Mosaic; Unknown,NA,NA,NA,NA,facultative,TRUE
aplomado_falcon,NA,NA,shrub; savannah; grasslands; artificial,NA,NA,Grasslands:  Tropical; Grasslands:  Chihuahuan,NA,NA,NA,grassland obligate,obligate,TRUE
arctic_tern,Shorelines,NA,grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Forests:  Boreal; Coasts:  Marine Waters; Oceans:  Pelagic,NA,NA,NA,NA,facultative,TRUE
arctic_warbler,Forests,NA,forest; woodland; shrub; artificial; riparian; coastal,NA,NA,Tundra:  Arctic; Forests:  Tropical Generalist,NA,NA,NA,NA,other,FALSE
arizona_woodpecker,Open Woodlands,NA,forest; woodland; artificial; riparian,NA,NA,Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,other,FALSE
artificial_nests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
artificial_nests_chestnut_sided_warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
artificial_nests_northern_bobwhite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
artificial_nests_ovenbird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ash_throated_flycatcher,Open Woodlands,NA,forest; woodland; shrub; riparian,NA,NA,Aridlands:  Desert Scrub; Forests:  Temperate Western; Forests:  Tropical Dry,NA,NA,NA,facultative grassland,facultative,TRUE
audubons_oriole,Open Woodlands,NA,forest; woodland; shrub,NA,NA,Forests:  Tropical Dry; Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,other,FALSE
bachmans_sparrow,Open Woodlands,NA,woodland; shrub,NA,NA,Forests:  Temperate Eastern,NA,NA,NA,grassland obligate,obligate,TRUE
bairds_sandpiper,NA,NA,grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Grasslands:  Pampas and Campos; Wetlands:  Lakes and Rivers,NA,NA,NA,grassland obligate,obligate,TRUE
bairds_sparrow,Grasslands,NA,shrub; grasslands; artificial,NA,NA,Grasslands:  Temperate; Grasslands:  Chihuahuan,NA,NA,NA,grassland obligate,obligate,TRUE
bald_eagle,Forests,NA,forest; grasslands; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist; Coasts:  Beach and Estuary; Coasts:  Saltmarsh,NA,NA,NA,NA,facultative,TRUE
baltimore_oriole,Forests,NA,forest; woodland; grasslands; desert; artificial,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Generalist,NA,NA,NA,NA,facultative,TRUE
band_tailed_pigeon,Forests,NA,NA,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Highland; Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,other,FALSE
bank_swallow,Lakes and Ponds,NA,NA,NA,NA,Wetlands Aerial:  Lakes and Rivers; Open Country Aerial:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
bar_tailed_godwit,Tundra,NA,woodland; grasslands; riparian; coastal; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Coasts:  Beach and Estuary,NA,NA,NA,NA,facultative,TRUE
barn_owl,Grasslands,NA,NA,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
barn_swallow,Grasslands,NA,grasslands; plains; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Open Country Aerial:  Habitat Mosaic,NA,NA,facultative grassland,NA,facultative,TRUE
barred_owl,Forests,NA,forest; woodland; riparian,NA,NA,Forests:  Temperate Eastern; Forests:  Temperate Western,NA,NA,NA,NA,other,FALSE
barrows_goldeneye,Lakes and Ponds,NA,riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Forested; Wetlands:  Lakes and Rivers; Coasts:  Marine Waters,NA,NA,NA,NA,other,FALSE
bay_breasted_warbler,Forests,NA,forest; woodland; wetlands_lakes_marsh,NA,NA,Forests:  Boreal; Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,other,FALSE
bells_sparrow,NA,NA,shrub; desert; coastal,NA,NA,Aridlands:  Chaparral; Aridlands:  Desert Scrub,NA,NA,NA,NA,shrub,FALSE
bells_vireo,Scrub,NA,woodland; shrub,NA,NA,Aridlands:  Desert Riparian; Forests:  Temperate Eastern; Forests:  Tropical Dry,NA,NA,NA,NA,other,FALSE
belted_flycatcher,NA,NA,woodland; shrub,NA,NA,Forests:  Mesoamerican Pine-Oak; Aridlands:  Tropical Arid Scrub,NA,NA,NA,NA,shrub,FALSE
belted_kingfisher,Lakes and Ponds,NA,riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist; Coasts:  Saltmarsh,NA,NA,NA,NA,other,FALSE
bendires_thrasher,Deserts,NA,grasslands; desert,NA,NA,Aridlands:  Desert Scrub,NA,NA,NA,facultative grassland,facultative,TRUE
bewicks_wren,Open Woodlands,NA,shrub; artificial,NA,NA,Aridlands:  Desert Scrub; Forests:  Temperate Western,NA,NA,NA,NA,shrub,FALSE
bicknells_thrush,Forests,NA,forest,NA,NA,Forests:  Boreal; Forests:  Tropical Montane Evergreen,NA,NA,NA,NA,other,FALSE
bird_and_mammal_species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_and_white_warbler,Forests,NA,woodland; shrub,NA,NA,Forests:  Temperate Eastern; Forests:  Boreal; Forests:  Tropical Generalist; Coasts:  Mangroves,NA,NA,NA,NA,other,FALSE
black_backed_woodpecker,Forests,NA,forest,NA,NA,Forests:  Boreal; Forests:  Temperate Western,NA,NA,NA,NA,other,FALSE
black_bellied_plover,NA,NA,NA,NA,NA,Wetlands:  Tundra; Tundra:  Arctic; Coasts:  Beach and Estuary,NA,NA,NA,facultative grassland,facultative,TRUE
black_bellied_whistling_duck,Marshes,NA,artificial; riparian; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist,NA,NA,NA,NA,other,FALSE
black_billed_cuckoo,Forests,NA,forest; woodland; shrub; artificial; riparian,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Dry; Forests:  Tropical Lowland Evergreen,shrubland,NA,facultative grassland,NA,facultative,TRUE
black_billed_magpie,Open Woodlands,NA,forest; shrub; grasslands; plains; artificial; riparian,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
black_capped_chickadee,Forests,NA,forest; woodland; artificial; riparian,NA,NA,Forests:  Temperate Generalist,NA,NA,NA,NA,other,FALSE
black_capped_gnatcatcher,NA,NA,shrub,NA,NA,Aridlands:  Desert Scrub; Forests:  Tropical Dry,NA,NA,NA,NA,shrub,FALSE
black_capped_vireo,Scrub,NA,shrub,NA,NA,Aridlands:  Desert Scrub; Forests:  Tropical Dry,NA,NA,NA,NA,shrub,FALSE
black_chinned_hummingbird,Open Woodlands,NA,forest; woodland; shrub; desert,NA,NA,Forests:  Temperate Western; Aridlands:  Desert Riparian; Forests:  Tropical Dry,NA,NA,NA,NA,other,FALSE
black_chinned_sparrow,Scrub,NA,shrub; grasslands; artificial,NA,NA,Aridlands:  Chaparral; Aridlands:  Desert Scrub,NA,NA,NA,NA,shrub,FALSE
black_crested_titmouse,Forests,NA,forest; woodland; riparian,NA,NA,Forests:  Tropical Dry,NA,NA,NA,NA,other,FALSE
black_crowned_night_heron,Marshes,NA,artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist; Coasts:  Saltmarsh,NA,NA,NA,NA,other,FALSE
black_guillemot,Oceans,NA,rocky_areas; coastal; pelagic,NA,NA,Coasts:  Cliffs and Islands; Coasts:  Marine Waters,NA,NA,NA,NA,other,FALSE
black_headed_grosbeak,Forests,NA,forest; woodland; shrub; artificial; riparian,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak; Forests:  Tropical Dry,NA,NA,NA,NA,other,FALSE
black_legged_kittiwake,Oceans,NA,rocky_areas; coastal; pelagic,NA,NA,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Oceans:  Pelagic,NA,NA,NA,NA,other,FALSE
black_necked_stilt,Marshes,NA,wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh; Wetlands:  Generalist,NA,NA,NA,NA,other,FALSE
black_oystercatcher,Shorelines,NA,NA,NA,NA,Coasts:  Rocky Intertidal,NA,NA,NA,NA,other,FALSE
black_phoebe,Open Woodlands,NA,artificial; riparian; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist,NA,NA,NA,NA,other,FALSE
black_rail,Marshes,NA,savannah; wetlands_lakes_marsh,NA,NA,Coasts:  Saltmarsh; Wetlands:  Freshwater Marsh,NA,NA,NA,NA,facultative,TRUE
black_rosy_finch,NA,NA,grasslands; rocky_areas; artificial; riparian; coastal,NA,NA,Tundra:  Alpine; Aridlands:  Sagebrush,NA,NA,NA,facultative grassland,facultative,TRUE
black_scoter,Oceans,NA,grasslands; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Coasts:  Marine Waters,NA,NA,NA,NA,facultative,TRUE
black_skimmer,Shorelines,NA,coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Beach and Estuary; Coasts:  Saltmarsh,NA,NA,NA,NA,other,FALSE
black_swift,Forests,NA,rocky_areas; riparian; wetlands_lakes_marsh,NA,NA,Forest Aerial:  Temperate Western; Forests Aerial:  Mesoamerican Highland; Forest Aerial:  Tropical Generalist,NA,NA,NA,NA,other,FALSE
black_tailed_gnatcatcher,Scrub,NA,shrub; riparian,NA,NA,Aridlands:  Desert Scrub,NA,NA,NA,NA,shrub,FALSE
black_tailed_godwit,NA,NA,plains; artificial; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,grassland; swamp,NA,NA,facultative,TRUE
black_tern,Marshes,NA,artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh; Oceans:  Pelagic; Coasts:  Marine Waters,NA,NA,NA,NA,other,FALSE
black_throated_blue_warbler,Forests,NA,forest; woodland; shrub; artificial,NA,NA,Forests:  Boreal; Forests:  Temperate Eastern; Islands:  Terrestrial Habitats; Coasts:  Mangroves,NA,NA,NA,NA,other,FALSE
black_throated_bobwhite,NA,NA,forest; woodland; shrub; savannah; artificial,NA,NA,Forests:  Tropical Dry; Grasslands:  Tropical,NA,NA,NA,facultative grassland,facultative,TRUE
black_throated_gray_warbler,Forests,NA,NA,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak; Forests:  Tropical Dry,NA,NA,NA,NA,other,FALSE
black_throated_green_warbler,Forests,NA,forest; woodland; shrub; rocky_areas; wetlands_lakes_marsh,NA,NA,Forests:  Boreal; Forests:  Temperate Eastern; Forests:  Tropical Montane Evergreen; Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,other,FALSE
black_throated_mango,NA,NA,shrub; artificial,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
black_throated_sparrow,Scrub,NA,shrub; plains; desert,NA,NA,Aridlands:  Desert Scrub,NA,NA,NA,NA,shrub,FALSE
black_vulture,Grasslands,NA,NA,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative,TRUE
black_whiskered_vireo,Forests,NA,forest; woodland; shrub; coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Mangroves; Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,other,FALSE
blackburnian_warbler,Forests,NA,forest; woodland; shrub,NA,NA,Forests:  Boreal; Forests:  Temperate Eastern; Forests:  Tropical Montane Evergreen,NA,NA,NA,NA,other,FALSE
blackpoll_warbler,Forests,NA,forest; woodland,NA,NA,Forests:  Boreal; Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,other,FALSE
blue_and_white_swallow,NA,NA,grasslands; artificial; wetlands_lakes_marsh,NA,NA,Open Country Aerial:  Habitat Mosaic; Open Country Aerial:  Developed/Disturbed,NA,NA,NA,NA,facultative,TRUE
blue_black_grassquit,NA,NA,shrub; savannah; artificial,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,facultative grassland,facultative,TRUE
blue_gray_gnatcatcher,Forests,NA,NA,NA,NA,Forests:  Generalist,NA,NA,NA,NA,other,FALSE
blue_gray_tanager,NA,NA,NA,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative,TRUE
blue_grosbeak,Open Woodlands,NA,forest; woodland; shrub; savannah; artificial; riparian,NA,NA,Forests:  Temperate Eastern; Aridlands:  Desert Riparian; Open Country:  Habitat Mosaic,shrubland,NA,facultative grassland,NA,facultative,TRUE
blue_headed_vireo,Forests,NA,forest,NA,NA,Forests:  Boreal; Forests:  Temperate Eastern; Forests:  Tropical Generalist,NA,NA,NA,NA,other,FALSE
blue_jay,Forests,NA,forest; woodland; artificial,NA,NA,Forests:  Temperate Eastern,NA,NA,NA,NA,other,FALSE
blue_throated_hummingbird,Open Woodlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,FALSE
blue_winged_teal,Marshes,NA,forest; grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Freshwater Marsh; Coasts:  Saltmarsh,NA,NA,NA,facultative grassland,facultative,TRUE
blue_winged_warbler,Open Woodlands,NA,woodland; shrub; riparian,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Lowland Evergreen; Forests:  Tropical Dry,shrubland,NA,NA,NA,other,FALSE
bluethroat,Tundra,NA,shrub; grasslands; riparian; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Wetlands:  Generalist,NA,NA,NA,NA,facultative,TRUE
boat_tailed_grackle,Marshes,NA,artificial; wetlands_lakes_marsh,NA,NA,Coasts:  Saltmarsh; Wetlands:  Freshwater Marsh,NA,NA,NA,NA,other,FALSE
bobolink,Grasslands,NA,grasslands; artificial; wetlands_lakes_marsh,NA,NA,Grasslands:  Temperate; Grasslands:  Pampas and Campos; Grasslands:  Tropical,NA,NA,NA,grassland obligate,obligate,TRUE
bohemian_waxwing,Forests,NA,forest; woodland; shrub; artificial; riparian; wetlands_lakes_marsh,NA,NA,Forests:  Boreal,NA,NA,NA,NA,other,FALSE
bonapartes_gull,Lakes and Ponds,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Coasts:  Marine Waters; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,facultative,TRUE
boreal_chickadee,Forests,NA,forest; woodland,NA,NA,Forests:  Boreal,NA,NA,NA,NA,other,FALSE
boreal_owl,Forests,NA,forest; woodland; artificial,NA,NA,Forests:  Boreal,NA,NA,NA,NA,other,FALSE
botteris_sparrow,Grasslands,NA,shrub; grasslands,NA,NA,Grasslands:  Chihuahuan; Grasslands:  Tropical,NA,NA,NA,grassland obligate,obligate,TRUE
bran_colored_flycatcher,NA,NA,bamboo; woodland; shrub; grasslands; riparian,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
brandts_cormorant,Oceans,NA,rocky_areas; coastal; pelagic,NA,NA,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Coasts:  Rocky Intertidal,NA,NA,NA,NA,other,FALSE
brant,NA,NA,NA,NA,NA,Coasts:  Saltmarsh; Coasts:  Tundra; Coasts:  Marine Waters; Coasts:  Rocky Intertidal,NA,NA,NA,facultative grassland,facultative,TRUE
breeding_grassland_species,NA,obligate,NA,NA,NA,NA,NA,NA,NA,NA,obligate,TRUE
breeding_shrub_scrub_species,NA,NA,NA,NA,shrub,NA,NA,NA,NA,NA,shrub,FALSE
breeding_species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,FALSE
brewers_blackbird,Towns,NA,shrub; grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,facultative grassland,facultative,TRUE
brewers_sparrow,Scrub,NA,shrub; grasslands,NA,NA,Aridlands:  Sagebrush; Aridlands:  Desert Scrub,NA,NA,NA,NA,shrub,FALSE
bridled_titmouse,Forests,NA,forest; grasslands; artificial; riparian,NA,NA,Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,facultative,TRUE
bristle_thighed_curlew,NA,NA,shrub; grasslands; coastal; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Coasts:  Beach and Estuary,NA,NA,NA,grassland obligate,obligate,TRUE
broad_billed_hummingbird,Forests,NA,woodland; shrub; rocky_areas; desert; riparian,NA,NA,Forests:  Tropical Dry; Aridlands:  Desert Riparian; Aridlands:  Tropical Arid Scrub,NA,NA,NA,NA,other,FALSE
broad_tailed_hummingbird,Open Woodlands,NA,forest; woodland; shrub; grasslands; riparian,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,facultative,TRUE
broad_winged_hawk,Forests,NA,forest; woodland; artificial; riparian,NA,NA,Forests:  Boreal; Forests:  Temperate Eastern; Forests:  Tropical Generalist,NA,NA,NA,NA,other,FALSE
bronzed_cowbird,Towns,NA,forest; woodland; grasslands; desert; artificial,NA,NA,Open Country:  Habitat Mosaic; Forests:  Tropical Dry,NA,NA,NA,facultative grassland,facultative,TRUE
brown_capped_rosy_finch,NA,NA,grasslands; rocky_areas; artificial; riparian; coastal,NA,NA,Tundra:  Alpine; Aridlands:  Sagebrush,NA,NA,NA,facultative grassland,facultative,TRUE
brown_chested_martin,NA,NA,grasslands; artificial; riparian,NA,NA,Open Country Aerial:  Habitat Mosaic; Wetlands Aerial:  Lakes and Rivers,NA,NA,NA,NA,facultative,TRUE
brown_creeper,Forests,NA,NA,NA,NA,Forests:  Temperate Generalist,NA,NA,NA,NA,other,FALSE
brown_crested_flycatcher,Forests,NA,woodland; shrub; riparian; coastal,NA,NA,Forests:  Tropical Dry; Aridlands:  Desert Riparian,NA,NA,NA,NA,other,FALSE
brown_headed_cowbird,Grasslands,NA,forest; woodland; grasslands; riparian,NA,NA,Open Country:  Habitat Mosaic,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
brown_headed_nuthatch,Forests,NA,forest; woodland; artificial; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Eastern,NA,NA,NA,NA,other,FALSE
brown_pelican,Oceans,NA,coastal,NA,NA,Coasts:  Beach and Estuary; Coasts:  Marine Waters,NA,NA,NA,NA,other,FALSE
brown_thrasher,Scrub,NA,shrub; artificial,NA,NA,Forests:  Temperate Eastern,shrubland,NA,facultative grassland,NA,facultative,TRUE
buff_bellied_hummingbird,Open Woodlands,NA,forest; woodland; shrub; riparian; coastal,NA,NA,Forests:  Tropical Dry,NA,NA,NA,NA,other,FALSE
buff_breasted_sandpiper,NA,NA,grasslands; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Grasslands:  Pampas and Campos,NA,NA,NA,grassland obligate,obligate,TRUE
bufflehead,Lakes and Ponds,NA,artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Forested; Wetlands:  Lakes and Rivers; Coasts:  Marine Waters,NA,NA,NA,NA,other,FALSE
bullocks_oriole,Open Woodlands,NA,woodland; grasslands; desert,NA,NA,Forests:  Temperate Western; Forests:  Tropical Dry; Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,facultative,TRUE
burrowing_owl,Grasslands,NA,savannah; grasslands; desert; artificial,NA,NA,Grasslands:  Temperate; Aridlands:  Desert Scrub,NA,NA,NA,grassland obligate,obligate,TRUE
bushtit,Scrub,NA,NA,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,other,FALSE
cabaniss_ground_sparrow,NA,NA,NA,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
cabaniss_wren,NA,NA,NA,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
cactus_wren,Deserts,NA,shrub; desert; artificial,NA,NA,Aridlands:  Desert Scrub,NA,NA,NA,NA,shrub,FALSE
california_gnatcatcher,Scrub,NA,shrub,NA,NA,Aridlands:  Chaparral,NA,NA,NA,NA,shrub,FALSE
california_gull,Lakes and Ponds,NA,grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers; Coasts:  Marine Waters,NA,NA,NA,NA,facultative,TRUE
california_quail,Scrub,NA,forest; shrub; grasslands; desert; artificial,NA,NA,Aridlands:  Chaparral,NA,NA,NA,NA,shrub,FALSE
california_scrub_jay,NA,NA,forest; shrub; artificial; coastal,NA,NA,Forests:  Temperate Western; Aridlands:  Chaparral,NA,NA,NA,NA,shrub,FALSE
california_thrasher,Scrub,NA,shrub; riparian,NA,NA,Aridlands:  Chaparral,NA,NA,NA,NA,shrub,FALSE
california_towhee,Scrub,NA,shrub; artificial; riparian,NA,NA,Aridlands:  Chaparral,NA,NA,NA,NA,shrub,FALSE
calliope_hummingbird,Open Woodlands,NA,shrub; artificial,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,other,FALSE
canada_goose,Marshes,NA,woodland; shrub; grasslands; plains; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist; Coasts:  Saltmarsh,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
canada_jay,Forests,NA,forest,NA,NA,Forests:  Boreal; Forests:  Temperate Western,NA,NA,NA,NA,other,FALSE
canada_warbler,Forests,NA,forest; woodland; shrub,NA,NA,Forests:  Boreal; Forests:  Temperate Eastern; Forests:  Tropical Montane Evergreen,NA,NA,NA,NA,other,FALSE
canebrake_wren,NA,NA,shrub,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
canvasback,Lakes and Ponds,NA,riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Freshwater Marsh; Wetlands:  Lakes and Rivers; Coasts:  Marine Waters,NA,NA,NA,NA,other,FALSE
canyon_towhee,Scrub,NA,shrub; artificial; riparian,NA,NA,Aridlands:  Desert Scrub,NA,NA,NA,facultative grassland,facultative,TRUE
