effect_id,key,source_sheet,source_row,extraction_type,design,response_class,response_var,survival_scale,link,baseline_survival,beta_is_derived,treatment,control,species,sign,treatment_control_flag,response_flag,response_dir,notes,bmp,paper,region,species_group,analysis_class,species_include,xbar_e,xbar_c,n_e,n_c,sd_e,sd_c,se_e,se_c,lcl_e,lcl_c,ucl_e,ucl_c,df_e,df_c
md_0016,RI9YTV8X,mean_diff,16,mean_difference,categorical,abundance,density,,,,,NWSG grass mix,CSG grass mix,savannah_sparrow,1,apples,0,,"Looks like SD, but was no readable?",plant_nwsg,Bakker and Higgins 2009,multiple,species,obligate,TRUE,21.2,15.8,26,19,6.9,7.7,,,,,,,,
md_0017,RI9YTV8X,mean_diff,17,mean_difference,categorical,abundance,density,,,,,NWSG grass mix,CSG grass mix,red_winged_blackbird,1,apples,0,,"Looks like SD, but was no readable?",plant_nwsg,Bakker and Higgins 2009,multiple,species,facultative,TRUE,55.8,81.6,26,19,14.8,15.9,,,,,,,,
md_0018,RI9YTV8X,mean_diff,18,mean_difference,categorical,abundance,density,,,,,NWSG grass mix,CSG grass mix,bobolink,1,apples,0,,"Looks like SD, but was no readable?",plant_nwsg,Bakker and Higgins 2009,multiple,species,obligate,TRUE,65.4,50,26,19,8.1,13.7,,,,,,,,
md_0019,RI9YTV8X,mean_diff,19,mean_difference,categorical,abundance,density,,,,,NWSG grass mix,CSG grass mix,western_meadowlark,1,apples,0,,"Looks like SD, but was no readable?",plant_nwsg,Bakker and Higgins 2009,multiple,species,obligate,TRUE,44.2,23.7,26,19,14.2,11.1,,,,,,,,
md_0020,3NTX2A2K,mean_diff,20,mean_difference,categorical,abundance,density,,,,,Year of burn,Unburned,red_winged_blackbird,1,apples,0,,,prescribed_fire,Benson et al. 2011,other,species,facultative,TRUE,0.64,1.19,10,10,,,0.13,0.24,,,,,,
md_0021,3NTX2A2K,mean_diff,21,mean_difference,categorical,abundance,density,,,,,1-year post-burn,Unburned,red_winged_blackbird,1,apples,0,,,prescribed_fire,Benson et al. 2011,other,species,facultative,TRUE,0.24,0.92,4,9,,,0.06,0.21,,,,,,
md_0022,3NTX2A2K,mean_diff,22,mean_difference,categorical,abundance,density,,,,,Year of burn,Unburned,dickcissel,1,apples,0,,,prescribed_fire,Benson et al. 2011,other,species,obligate,TRUE,0.68,0.7,10,10,,,0.17,0.15,,,,,,
md_0023,3NTX2A2K,mean_diff,23,mean_difference,categorical,abundance,density,,,,,1-year post-burn,Unburned,dickcissel,1,apples,0,,,prescribed_fire,Benson et al. 2011,other,species,obligate,TRUE,0.58,0.75,4,9,,,0.12,0.17,,,,,,
md_0024,3NTX2A2K,mean_diff,24,mean_difference,categorical,abundance,density,,,,,Year of burn,Unburned,common_yellowthroat,1,apples,0,,,prescribed_fire,Benson et al. 2011,other,species,facultative,TRUE,0.06,0.43,10,10,,,0.02,0.11,,,,,,
md_0025,3NTX2A2K,mean_diff,25,mean_difference,categorical,abundance,density,,,,,1-year post-burn,Unburned,common_yellowthroat,1,apples,0,,,prescribed_fire,Benson et al. 2011,other,species,facultative,TRUE,0.03,0.15,4,9,,,0.03,0.07,,,,,,
md_0026,3NTX2A2K,mean_diff,26,mean_difference,categorical,abundance,density,,,,,Year of burn,Unburned,american_goldfinch,1,apples,0,,,prescribed_fire,Benson et al. 2011,other,species,facultative,TRUE,0.1,0.1,10,10,,,0.03,0.03,,,,,,
md_0027,3NTX2A2K,mean_diff,27,mean_difference,categorical,abundance,density,,,,,1-year post-burn,Unburned,american_goldfinch,1,apples,0,,,prescribed_fire,Benson et al. 2011,other,species,facultative,TRUE,0.03,0.07,4,9,,,0.03,0.04,,,,,,
md_0028,3NTX2A2K,mean_diff,28,mean_difference,categorical,abundance,density,,,,,Year of burn,Unburned,grasshopper_sparrow,1,apples,0,,,prescribed_fire,Benson et al. 2011,other,species,obligate,TRUE,0.06,0,10,10,,,0.06,0,,,,,,
md_0029,3NTX2A2K,mean_diff,29,mean_difference,categorical,abundance,density,,,,,1-year post-burn,Unburned,grasshopper_sparrow,1,apples,0,,,prescribed_fire,Benson et al. 2011,other,species,obligate,TRUE,0.06,0.02,4,9,,,0.04,0.01,,,,,,
md_0030,3NTX2A2K,mean_diff,30,mean_difference,categorical,species_richness,species_richness,,,,,Year of burn,Unburned,all_species,1,apples,0,,,prescribed_fire,Benson et al. 2011,other,aggregate,,TRUE,5.7,5.8,10,10,,,0.33,0.39,,,,,,
md_0031,3NTX2A2K,mean_diff,31,mean_difference,categorical,species_richness,species_richness,,,,,1-year post-burn,Unburned,all_species,1,apples,0,,,prescribed_fire,Benson et al. 2011,other,aggregate,,TRUE,4,5,4,9,,,0.41,0.67,,,,,,
md_0032,U3SWA47K,mean_diff,32,mean_difference,categorical,species_richness,species_richness,,,,,Riparian buffer (2 yr.),pasture,all_species,1,apples,0,,Estimated from plot; sites were measured before and after buffer plantings,stream_exclusion_and_buffers,Berges et al. 2010,other,aggregate,,TRUE,18.5,11.5,4,4,,,0.5,0.5,,,,,,
md_0033,U3SWA47K,mean_diff,33,mean_difference,categorical,species_richness,species_richness,,,,,Riparian buffer (2 yr.),crop,all_species,1,apples,0,,Estimated from plot; sites were measured before and after buffer plantings,stream_exclusion_and_buffers,Berges et al. 2010,other,aggregate,,TRUE,18.5,14.5,4,4,,,0.5,0.5,,,,,,
md_0034,U3SWA47K,mean_diff,34,mean_difference,categorical,abundance,abundance,,,,,Riparian buffer (2 yr.),pasture,all_species,1,apples,0,,Estimated from plot; sites were measured before and after buffer plantings,stream_exclusion_and_buffers,Berges et al. 2010,other,aggregate,,TRUE,43,26,4,4,,,2,2,,,,,,
md_0035,U3SWA47K,mean_diff,35,mean_difference,categorical,abundance,abundance,,,,,Riparian buffer (2 yr.),crop,all_species,1,apples,0,,Estimated from plot; sites were measured before and after buffer plantings,stream_exclusion_and_buffers,Berges et al. 2010,other,aggregate,,TRUE,43,25,4,4,,,2,1.5,,,,,,
md_0036,55UE5VCT,mean_diff,36,mean_difference,categorical,species_richness,species_richness,,,,,filter strips,non-buffered field edges,breeding_species,1,apples,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,aggregate,other,TRUE,4.6,1.9,67,15,,,,,3.9,0.8,5.3,3,,
md_0036,55UE5VCT,mean_diff,36,mean_difference,categorical,species_richness,species_richness,,,,,filter strips,non-buffered field edges,breeding_species,1,apples,0,,,edge_and_shrub_habitat,Blank et al. 2011,other,aggregate,other,TRUE,4.6,1.9,67,15,,,,,3.9,0.8,5.3,3,,
md_0037,55UE5VCT,mean_diff,38,mean_difference,categorical,species_richness,species_richness,,,,,filter strips,non-buffered field edges,wintering_species,1,apples,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,aggregate,other,TRUE,1.6,0.2,67,15,,,,,1.2,-0.2,2,0.7,,
md_0037,55UE5VCT,mean_diff,38,mean_difference,categorical,species_richness,species_richness,,,,,filter strips,non-buffered field edges,wintering_species,1,apples,0,,,provide_overwintering_habitat,Blank et al. 2011,other,aggregate,other,TRUE,1.6,0.2,67,15,,,,,1.2,-0.2,2,0.7,,
md_0037,55UE5VCT,mean_diff,38,mean_difference,categorical,species_richness,species_richness,,,,,filter strips,non-buffered field edges,wintering_species,1,apples,0,,,edge_and_shrub_habitat,Blank et al. 2011,other,aggregate,other,TRUE,1.6,0.2,67,15,,,,,1.2,-0.2,2,0.7,,
md_0038,55UE5VCT,mean_diff,41,mean_difference,categorical,abundance,density,,,,,filter strips,non-buffered field edges,breeding_species,1,apples,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,aggregate,other,TRUE,6.4,1.2,67,15,,,,,4.8,0.5,8.5,2.3,,
md_0038,55UE5VCT,mean_diff,41,mean_difference,categorical,abundance,density,,,,,filter strips,non-buffered field edges,breeding_species,1,apples,0,,,edge_and_shrub_habitat,Blank et al. 2011,other,aggregate,other,TRUE,6.4,1.2,67,15,,,,,4.8,0.5,8.5,2.3,,
md_0039,55UE5VCT,mean_diff,43,mean_difference,categorical,abundance,density,,,,,filter strips,non-buffered field edges,breeding_grassland_species,1,apples,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,guild,obligate,TRUE,1.9,0.2,67,15,,,,,1.3,-0.2,2.7,0.7,,
md_0039,55UE5VCT,mean_diff,43,mean_difference,categorical,abundance,density,,,,,filter strips,non-buffered field edges,breeding_grassland_species,1,apples,0,,,edge_and_shrub_habitat,Blank et al. 2011,other,guild,obligate,TRUE,1.9,0.2,67,15,,,,,1.3,-0.2,2.7,0.7,,
md_0040,55UE5VCT,mean_diff,45,mean_difference,categorical,abundance,density,,,,,filter strips,non-buffered field edges,breeding_shrub_scrub_species,1,apples,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,guild,shrub,FALSE,3.9,0.7,67,15,,,,,2.8,0.2,5.3,1.5,,
md_0040,55UE5VCT,mean_diff,45,mean_difference,categorical,abundance,density,,,,,filter strips,non-buffered field edges,breeding_shrub_scrub_species,1,apples,0,,,edge_and_shrub_habitat,Blank et al. 2011,other,guild,shrub,FALSE,3.9,0.7,67,15,,,,,2.8,0.2,5.3,1.5,,
md_0041,55UE5VCT,mean_diff,47,mean_difference,categorical,abundance,density,,,,,filter strips,non-buffered field edges,wintering_species,1,apples,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,aggregate,other,TRUE,3.6,0.6,67,15,,,,,1.9,-0.1,6.3,2,,
md_0041,55UE5VCT,mean_diff,47,mean_difference,categorical,abundance,density,,,,,filter strips,non-buffered field edges,wintering_species,1,apples,0,,,provide_overwintering_habitat,Blank et al. 2011,other,aggregate,other,TRUE,3.6,0.6,67,15,,,,,1.9,-0.1,6.3,2,,
md_0041,55UE5VCT,mean_diff,47,mean_difference,categorical,abundance,density,,,,,filter strips,non-buffered field edges,wintering_species,1,apples,0,,,edge_and_shrub_habitat,Blank et al. 2011,other,aggregate,other,TRUE,3.6,0.6,67,15,,,,,1.9,-0.1,6.3,2,,
md_0042,55UE5VCT,mean_diff,50,mean_difference,categorical,abundance,density,,,,,filter strips,non-buffered field edges,wintering_shrub_scrub_species,1,apples,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,guild,shrub,FALSE,2.9,0.2,67,15,,,,,1.6,-0.3,4.7,1.1,,
md_0042,55UE5VCT,mean_diff,50,mean_difference,categorical,abundance,density,,,,,filter strips,non-buffered field edges,wintering_shrub_scrub_species,1,apples,0,,,provide_overwintering_habitat,Blank et al. 2011,other,guild,shrub,FALSE,2.9,0.2,67,15,,,,,1.6,-0.3,4.7,1.1,,
md_0042,55UE5VCT,mean_diff,50,mean_difference,categorical,abundance,density,,,,,filter strips,non-buffered field edges,wintering_shrub_scrub_species,1,apples,0,,,edge_and_shrub_habitat,Blank et al. 2011,other,guild,shrub,FALSE,2.9,0.2,67,15,,,,,1.6,-0.3,4.7,1.1,,
md_0043,55UE5VCT,mean_diff,53,mean_difference,categorical,abundance,density,,,,,Warm-season grass filter strips,Cool-season grass filter strips,common_yellowthroat,1,apples,0,,"They only report these stats because there was a detectable difference for this species. For all other species, there was not a detectable difference.",plant_nwsg,Blank et al. 2011,other,species,facultative,TRUE,0.9,0.3,45,22,,,,,0.5,0,1.4,0.8,,
md_0044,55UE5VCT,mean_diff,54,mean_difference,categorical,abundance,density,,,,,narrow filter strips (<30),medium filter strips (30-60 m),breeding_species,-1,apples,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,aggregate,other,TRUE,11.2,7.6,35,14,,,,,6.5,2,15.8,13.2,,
md_0044,55UE5VCT,mean_diff,54,mean_difference,categorical,abundance,density,,,,,narrow filter strips (<30),medium filter strips (30-60 m),breeding_species,-1,apples,0,,,edge_and_shrub_habitat,Blank et al. 2011,other,aggregate,other,TRUE,11.2,7.6,35,14,,,,,6.5,2,15.8,13.2,,
md_0045,55UE5VCT,mean_diff,56,mean_difference,categorical,abundance,density,,,,,narrow filter strips (<30),wide filter strips (>60 m),breeding_species,-1,apples,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,aggregate,other,TRUE,11.2,5.6,35,18,,,,,6.5,0.5,15.8,10.6,,
md_0045,55UE5VCT,mean_diff,56,mean_difference,categorical,abundance,density,,,,,narrow filter strips (<30),wide filter strips (>60 m),breeding_species,-1,apples,0,,,edge_and_shrub_habitat,Blank et al. 2011,other,aggregate,other,TRUE,11.2,5.6,35,18,,,,,6.5,0.5,15.8,10.6,,
md_0046,55UE5VCT,mean_diff,58,mean_difference,categorical,abundance,density,,,,,medium filter strips (30-60 m),wide filter strips (>60 m),breeding_species,-1,oranges,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,aggregate,other,TRUE,7.6,5.6,14,18,,,,,2,0.5,13.2,10.6,,
md_0046,55UE5VCT,mean_diff,58,mean_difference,categorical,abundance,density,,,,,medium filter strips (30-60 m),wide filter strips (>60 m),breeding_species,-1,oranges,0,,,edge_and_shrub_habitat,Blank et al. 2011,other,aggregate,other,TRUE,7.6,5.6,14,18,,,,,2,0.5,13.2,10.6,,
md_0047,55UE5VCT,mean_diff,60,mean_difference,categorical,abundance,density,,,,,narrow filter strips (<30),medium filter strips (30-60 m),breeding_grassland_species,-1,apples,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,guild,obligate,TRUE,1.8,2.4,35,14,,,,,0.9,1,3.1,4.8,,
md_0047,55UE5VCT,mean_diff,60,mean_difference,categorical,abundance,density,,,,,narrow filter strips (<30),medium filter strips (30-60 m),breeding_grassland_species,-1,apples,0,,,edge_and_shrub_habitat,Blank et al. 2011,other,guild,obligate,TRUE,1.8,2.4,35,14,,,,,0.9,1,3.1,4.8,,
md_0048,55UE5VCT,mean_diff,62,mean_difference,categorical,abundance,density,,,,,narrow filter strips (<30),wide filter strips (>60 m),breeding_grassland_species,-1,apples,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,guild,obligate,TRUE,1.8,2,35,18,,,,,0.9,0.9,3.1,3.6,,
md_0048,55UE5VCT,mean_diff,62,mean_difference,categorical,abundance,density,,,,,narrow filter strips (<30),wide filter strips (>60 m),breeding_grassland_species,-1,apples,0,,,edge_and_shrub_habitat,Blank et al. 2011,other,guild,obligate,TRUE,1.8,2,35,18,,,,,0.9,0.9,3.1,3.6,,
md_0049,55UE5VCT,mean_diff,64,mean_difference,categorical,abundance,density,,,,,medium filter strips (30-60 m),wide filter strips (>60 m),breeding_grassland_species,-1,oranges,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,guild,obligate,TRUE,2.4,2,14,18,,,,,1,0.9,4.8,3.6,,
md_0049,55UE5VCT,mean_diff,64,mean_difference,categorical,abundance,density,,,,,medium filter strips (30-60 m),wide filter strips (>60 m),breeding_grassland_species,-1,oranges,0,,,edge_and_shrub_habitat,Blank et al. 2011,other,guild,obligate,TRUE,2.4,2,14,18,,,,,1,0.9,4.8,3.6,,
md_0050,55UE5VCT,mean_diff,66,mean_difference,categorical,abundance,density,,,,,narrow filter strips (<30),medium filter strips (30-60 m),breeding_shrub_scrub_species,-1,apples,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,guild,shrub,FALSE,5.9,4,35,14,,,,,3.5,1.9,9.7,7.7,,
md_0050,55UE5VCT,mean_diff,66,mean_difference,categorical,abundance,density,,,,,narrow filter strips (<30),medium filter strips (30-60 m),breeding_shrub_scrub_species,-1,apples,0,,,edge_and_shrub_habitat,Blank et al. 2011,other,guild,shrub,FALSE,5.9,4,35,14,,,,,3.5,1.9,9.7,7.7,,
md_0051,55UE5VCT,mean_diff,68,mean_difference,categorical,abundance,density,,,,,narrow filter strips (<30),wide filter strips (>60 m),breeding_shrub_scrub_species,-1,apples,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,guild,shrub,FALSE,5.9,2,35,18,,,,,3.5,0.9,9.7,3.8,,
md_0051,55UE5VCT,mean_diff,68,mean_difference,categorical,abundance,density,,,,,narrow filter strips (<30),wide filter strips (>60 m),breeding_shrub_scrub_species,-1,apples,0,,,edge_and_shrub_habitat,Blank et al. 2011,other,guild,shrub,FALSE,5.9,2,35,18,,,,,3.5,0.9,9.7,3.8,,
md_0052,55UE5VCT,mean_diff,70,mean_difference,categorical,abundance,density,,,,,medium filter strips (30-60 m),wide filter strips (>60 m),breeding_shrub_scrub_species,-1,oranges,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,guild,shrub,FALSE,4,2,14,18,,,,,1.9,0.9,7.7,3.8,,
md_0052,55UE5VCT,mean_diff,70,mean_difference,categorical,abundance,density,,,,,medium filter strips (30-60 m),wide filter strips (>60 m),breeding_shrub_scrub_species,-1,oranges,0,,,edge_and_shrub_habitat,Blank et al. 2011,other,guild,shrub,FALSE,4,2,14,18,,,,,1.9,0.9,7.7,3.8,,
md_0053,55UE5VCT,mean_diff,72,mean_difference,categorical,species_richness,species_richness,,,,,narrow filter strips (<30),medium filter strips (30-60 m),breeding_species,-1,apples,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,aggregate,other,TRUE,4.5,4.4,35,14,,,,,2.4,2.1,6.5,6.8,,
md_0053,55UE5VCT,mean_diff,72,mean_difference,categorical,species_richness,species_richness,,,,,narrow filter strips (<30),medium filter strips (30-60 m),breeding_species,-1,apples,0,,,edge_and_shrub_habitat,Blank et al. 2011,other,aggregate,other,TRUE,4.5,4.4,35,14,,,,,2.4,2.1,6.5,6.8,,
md_0054,55UE5VCT,mean_diff,74,mean_difference,categorical,species_richness,species_richness,,,,,narrow filter strips (<30),wide filter strips (>60 m),breeding_species,-1,apples,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,aggregate,other,TRUE,4.5,3.2,35,18,,,,,2.4,0.9,6.5,5.5,,
md_0054,55UE5VCT,mean_diff,74,mean_difference,categorical,species_richness,species_richness,,,,,narrow filter strips (<30),wide filter strips (>60 m),breeding_species,-1,apples,0,,,edge_and_shrub_habitat,Blank et al. 2011,other,aggregate,other,TRUE,4.5,3.2,35,18,,,,,2.4,0.9,6.5,5.5,,
md_0055,55UE5VCT,mean_diff,76,mean_difference,categorical,species_richness,species_richness,,,,,medium filter strips (30-60 m),wide filter strips (>60 m),breeding_species,-1,oranges,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,aggregate,other,TRUE,4.4,3.2,14,18,,,,,2.1,0.9,6.8,5.5,,
md_0055,55UE5VCT,mean_diff,76,mean_difference,categorical,species_richness,species_richness,,,,,medium filter strips (30-60 m),wide filter strips (>60 m),breeding_species,-1,oranges,0,,,edge_and_shrub_habitat,Blank et al. 2011,other,aggregate,other,TRUE,4.4,3.2,14,18,,,,,2.1,0.9,6.8,5.5,,
md_0056,55UE5VCT,mean_diff,78,mean_difference,categorical,abundance,density,,,,,narrow filter strips (<30),medium filter strips (30-60 m),wintering_species,-1,apples,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,aggregate,other,TRUE,4.9,1.3,25,8,,,,,2.4,-0.01,9.2,4.5,,
md_0056,55UE5VCT,mean_diff,78,mean_difference,categorical,abundance,density,,,,,narrow filter strips (<30),medium filter strips (30-60 m),wintering_species,-1,apples,0,,,provide_overwintering_habitat,Blank et al. 2011,other,aggregate,other,TRUE,4.9,1.3,25,8,,,,,2.4,-0.01,9.2,4.5,,
md_0057,55UE5VCT,mean_diff,80,mean_difference,categorical,abundance,density,,,,,narrow filter strips (<30),wide filter strips (>60 m),wintering_species,-1,apples,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,aggregate,other,TRUE,4.9,9.1,25,7,,,,,2.4,3,9.2,24.5,,
md_0057,55UE5VCT,mean_diff,80,mean_difference,categorical,abundance,density,,,,,narrow filter strips (<30),wide filter strips (>60 m),wintering_species,-1,apples,0,,,provide_overwintering_habitat,Blank et al. 2011,other,aggregate,other,TRUE,4.9,9.1,25,7,,,,,2.4,3,9.2,24.5,,
md_0058,55UE5VCT,mean_diff,82,mean_difference,categorical,abundance,density,,,,,medium filter strips (30-60 m),wide filter strips (>60 m),wintering_species,-1,oranges,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,aggregate,other,TRUE,1.3,9.1,8,7,,,,,-0.01,3,4.5,24.5,,
md_0058,55UE5VCT,mean_diff,82,mean_difference,categorical,abundance,density,,,,,medium filter strips (30-60 m),wide filter strips (>60 m),wintering_species,-1,oranges,0,,,provide_overwintering_habitat,Blank et al. 2011,other,aggregate,other,TRUE,1.3,9.1,8,7,,,,,-0.01,3,4.5,24.5,,
md_0059,55UE5VCT,mean_diff,84,mean_difference,categorical,abundance,density,,,,,narrow filter strips (<30),medium filter strips (30-60 m),wintering_shrub_scrub_species,-1,apples,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,guild,shrub,FALSE,3.4,1.1,25,8,,,,,1.6,-0.01,6.4,3.9,,
md_0059,55UE5VCT,mean_diff,84,mean_difference,categorical,abundance,density,,,,,narrow filter strips (<30),medium filter strips (30-60 m),wintering_shrub_scrub_species,-1,apples,0,,,provide_overwintering_habitat,Blank et al. 2011,other,guild,shrub,FALSE,3.4,1.1,25,8,,,,,1.6,-0.01,6.4,3.9,,
md_0060,55UE5VCT,mean_diff,86,mean_difference,categorical,abundance,density,,,,,narrow filter strips (<30),wide filter strips (>60 m),wintering_shrub_scrub_species,-1,apples,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,guild,shrub,FALSE,3.4,3.8,25,7,,,,,1.6,1,6.4,10.3,,
md_0060,55UE5VCT,mean_diff,86,mean_difference,categorical,abundance,density,,,,,narrow filter strips (<30),wide filter strips (>60 m),wintering_shrub_scrub_species,-1,apples,0,,,provide_overwintering_habitat,Blank et al. 2011,other,guild,shrub,FALSE,3.4,3.8,25,7,,,,,1.6,1,6.4,10.3,,
md_0061,55UE5VCT,mean_diff,88,mean_difference,categorical,abundance,density,,,,,medium filter strips (30-60 m),wide filter strips (>60 m),wintering_shrub_scrub_species,-1,oranges,0,,,stream_exclusion_and_buffers,Blank et al. 2011,other,guild,shrub,FALSE,1.1,3.8,8,7,,,,,-0.01,1,3.9,10.3,,
md_0061,55UE5VCT,mean_diff,88,mean_difference,categorical,abundance,density,,,,,medium filter strips (30-60 m),wide filter strips (>60 m),wintering_shrub_scrub_species,-1,oranges,0,,,provide_overwintering_habitat,Blank et al. 2011,other,guild,shrub,FALSE,1.1,3.8,8,7,,,,,-0.01,1,3.9,10.3,,
