key,paper,bmp,response_class,predictor_var,response_var,species,error_class,beta,n,sd,se,lcl,ucl,notes,analysis_class,species_include,survival_scale
3GEK5IU7,Crimmins et al. 2016,prescribed_fire,nest_success,Time since burn,DSR,henslows_sparrow,confidence_intervals,-0.0239,135,NA,NA,-0.2624,0.2146,NA,obligate,TRUE,daily_survival
JTXBRT46,Darrah and van Riper 2018,remove_non_native_shrubs,abundance,Percent defoliation of invasive tamarisk by tamarisk beetles,Density,blue_grosbeak,standard_deviation; confident_intervals,-2.31,20,0.57,NA,-3.43,-1.19,NA,facultative,TRUE,NA
JTXBRT46,Darrah and van Riper 2018,remove_non_native_shrubs,abundance,Percent defoliation of invasive tamarisk by tamarisk beetles,Density,common_yellowthroat,standard_deviation; confident_intervals,-0.73,20,0.8,NA,-2.33,0.82,NA,facultative,TRUE,NA
JTXBRT46,Darrah and van Riper 2018,remove_non_native_shrubs,abundance,Percent defoliation of invasive tamarisk by tamarisk beetles,Density,lazuli_bunting,standard_deviation; confident_intervals,7,20,1.67,NA,3.85,10.48,NA,facultative,TRUE,NA
JTXBRT46,Darrah and van Riper 2018,remove_non_native_shrubs,abundance,Percent defoliation of invasive tamarisk by tamarisk beetles,Density,song_sparrow,standard_deviation; confident_intervals,3.43,20,2.83,NA,-1.98,9.24,NA,facultative,TRUE,NA
JTXBRT46,Darrah and van Riper 2018,remove_non_native_shrubs,abundance,Percent defoliation of invasive tamarisk by tamarisk beetles,Density,yellow_breasted_chat,standard_deviation; confident_intervals,-2.02,20,0.38,NA,-2.76,-1.27,NA,facultative,TRUE,NA
JTXBRT46,Darrah and van Riper 2018,remove_non_native_shrubs,abundance,Percent defoliation of invasive tamarisk by tamarisk beetles,Density,yellow_warbler,standard_deviation; confident_intervals,-2.15,20,0.71,NA,-3.56,-0.78,NA,facultative,TRUE,NA
HXFI5KV4,Davis et al. 2021,edge_and_shrub_habitat,abundance,Shrub cover,abundance,mccowns_longspur,confidence_intervals,0.049,20,NA,NA,-0.462,0.489,NA,obligate,TRUE,NA
HXFI5KV4,Davis et al. 2021,edge_and_shrub_habitat,abundance,Shrub cover,abundance,horned_lark,confidence_intervals,-0.134,20,NA,NA,-0.222,-0.05,NA,obligate,TRUE,NA
HXFI5KV4,Davis et al. 2021,edge_and_shrub_habitat,abundance,Shrub cover,abundance,lark_bunting,confidence_intervals,0.054,20,NA,NA,0.008,0.1,NA,obligate,TRUE,NA
HXFI5KV4,Davis et al. 2021,edge_and_shrub_habitat,abundance,Shrub cover,abundance,western_meadowlark,confidence_intervals,-0.022,20,NA,NA,-0.09,0.043,NA,obligate,TRUE,NA
HXFI5KV4,Davis et al. 2021,edge_and_shrub_habitat,abundance,Shrub cover,abundance,grasshopper_sparrow,confidence_intervals,0.009,20,NA,NA,-0.1,0.114,NA,obligate,TRUE,NA
4A6H3F33,Docherty et al. 2020,prescribed_fire,species_richness,Fire frequency,species_richness,all_species,standard_error,0.092,1266,NA,0.049,NA,NA,NA,NA,TRUE,NA
4A6H3F33,Docherty et al. 2020,prescribed_fire,species_richness,Proportion of landscape recently burned (<1 year),species_richness,all_species,standard_error,0.104,1266,NA,0.033,NA,NA,NA,NA,TRUE,NA
ZYYQ9F33,Faria et al. 2016,delay_hay,survival,Date of mowing,Juvenile and adult mortality,all_species,standard_error,0.18,41,NA,0.17,NA,NA,"Juvenile and adult mortality ... corn bunting, little bustard, crested and thekla larks, common quail, Montagu harrier, others",NA,TRUE,NA
U5J5P8HL,Fetcher et al. 2023,plant_nwsg,species_richness,Proportion C4 primary productivity,species_richness per sampling point,all_species,standard_error,-2.6761,17,NA,0.97054,NA,NA,NA,NA,TRUE,NA
U5J5P8HL,Fetcher et al. 2023,edge_and_shrub_habitat,species_richness,Area:edge ratio,species_richness per sampling point,all_species,standard_error,0.03889,17,NA,0.01048,NA,NA,NA,NA,TRUE,NA
U5J5P8HL,Fetcher et al. 2023,plant_nwsg,abundance,Proportion C4 primary productivity,total abundance per sampling point,all_species,standard_error,-4.9204,17,NA,1.644,NA,NA,NA,NA,TRUE,NA
U5J5P8HL,Fetcher et al. 2023,edge_and_shrub_habitat,abundance,Area:edge ratio,total abundance per sampling point,all_species,standard_error,0.07608,17,NA,0.017973,NA,NA,NA,NA,TRUE,NA
YS5JV4EW,Fokkema et al. 2024,keep_cats_indoors,nest_success,-,Proportion of nest predation events by domestic cats,black_tailed_godwit,confidence_intervals,0.02,NA,NA,NA,0,0.06,Explanatory study -- no predictor variable,facultative,TRUE,period_survival
XYFBIX43,Fromberger et al. 2020,reduce_grazing_intensity,nest_success,Stocking rate (number cattle x days grazed/area grazed),DSR,bobolink,confidence_intervals,-0.01,159,NA,NA,-0.013,-0.007,NA,obligate,TRUE,daily_survival
5LF5W5A9,Glass and Eichholz 2023,edge_and_shrub_habitat,abundance,Edge-interior ratio,Abundance,dickcissel,confidence_intervals,-0.6,40,NA,NA,-0.92,-0.27,NA,obligate,TRUE,NA
5LF5W5A9,Glass and Eichholz 2023,prescribed_fire,abundance,Time since fire,Abundance,field_sparrow,confidence_intervals,-0.19,40,NA,NA,-0.38,-0.01,NA,facultative,TRUE,NA
5LF5W5A9,Glass and Eichholz 2023,edge_and_shrub_habitat,abundance,Edge-interior ratio,Abundance,common_yellowthroat,confidence_intervals,-0.09,40,NA,NA,-0.27,0.08,NA,facultative,TRUE,NA
5LF5W5A9,Glass and Eichholz 2023,prescribed_fire,nest_success,Time since fire,Daily survival rate,dickcissel,confidence_intervals,1.09,40,NA,NA,0.06,2.13,NA,obligate,TRUE,daily_survival
5LF5W5A9,Glass and Eichholz 2023,edge_and_shrub_habitat,nest_success,Distance to edge,Daily survival rate,field_sparrow,confidence_intervals,0.38,136,NA,NA,0.1,0.66,NA,facultative,TRUE,daily_survival
5LF5W5A9,Glass and Eichholz 2023,edge_and_shrub_habitat,nest_success,Distance to edge,Daily survival rate,common_yellowthroat,confidence_intervals,0.52,31,NA,NA,-0.17,1.2,NA,facultative,TRUE,daily_survival
5LF5W5A9,Glass and Eichholz 2023,prescribed_fire,abundance,Time since fire,Nest density,dickcissel,confidence_intervals,0.49,40,NA,NA,0.21,0.77,NA,obligate,TRUE,NA
5LF5W5A9,Glass and Eichholz 2023,edge_and_shrub_habitat,abundance,Distance to edge,Nest density,dickcissel,confidence_intervals,-0.34,40,NA,NA,-0.62,-0.06,NA,obligate,TRUE,NA
5LF5W5A9,Glass and Eichholz 2023,edge_and_shrub_habitat,abundance,Proportion of forested edge,Nest density,field_sparrow,confidence_intervals,0.44,40,NA,NA,0.18,0.71,NA,facultative,TRUE,NA
9BKYJB9V,Glass et al. 2020,prescribed_fire,abundance,Months since burning,Probability of a captured bird being a hatch-year bird,grasshopper_sparrow,confidence_intervals,-0.8178,16,NA,NA,-1.176,-0.459,NA,obligate,TRUE,NA
9BKYJB9V,Glass et al. 2020,reduce_grazing_intensity,abundance,AUM/ha for the sampling year and previous 4 years,abundance,grasshopper_sparrow,confidence_intervals,0.02875,16,NA,NA,-0.011,0.069,NA,obligate,TRUE,NA
N29AAJPM,Henderson and Davis 2014,edge_and_shrub_habitat,abundance,Shrub cover,abundance,bairds_sparrow,standard_error,-3.87,140,NA,3.24,NA,NA,Betas seem big,obligate,TRUE,NA
N29AAJPM,Henderson and Davis 2014,edge_and_shrub_habitat,abundance,Shrub cover,abundance,chestnut_collared_longspur,standard_error,2.861,140,NA,2.89,NA,NA,Betas seem big,obligate,TRUE,NA
N29AAJPM,Henderson and Davis 2014,edge_and_shrub_habitat,abundance,Shrub cover,abundance,clay_colored_sparrow,standard_error,14.207,140,NA,7.42,NA,NA,Betas seem big,facultative,TRUE,NA
N29AAJPM,Henderson and Davis 2014,edge_and_shrub_habitat,abundance,Shrub cover,abundance,grasshopper_sparrow,standard_error,28.129,140,NA,13.89,NA,NA,Betas seem big,obligate,TRUE,NA
N29AAJPM,Henderson and Davis 2014,edge_and_shrub_habitat,abundance,Shrub cover,abundance,horned_lark,standard_error,0.299,140,NA,3.26,NA,NA,Betas seem big,obligate,TRUE,NA
N29AAJPM,Henderson and Davis 2014,edge_and_shrub_habitat,abundance,Shrub cover,abundance,mccowns_longspur,standard_error,-11.684,140,NA,5.92,NA,NA,Betas seem big,obligate,TRUE,NA
N29AAJPM,Henderson and Davis 2014,edge_and_shrub_habitat,abundance,Shrub cover,abundance,savannah_sparrow,standard_error,6.697,140,NA,3.22,NA,NA,Betas seem big,obligate,TRUE,NA
N29AAJPM,Henderson and Davis 2014,edge_and_shrub_habitat,abundance,Shrub cover,abundance,spragues_pipit,standard_error,-3.145,140,NA,3.51,NA,NA,Betas seem big,obligate,TRUE,NA
5HV7T7SJ,Herse et al. 2020,edge_and_shrub_habitat,occupancy,Edge density (meters/ha),occupancy,grasshopper_sparrow,standard_error,-0.71,1425,NA,0.09,NA,NA,NA,obligate,TRUE,NA
5HV7T7SJ,Herse et al. 2020,edge_and_shrub_habitat,occupancy,Edge density (meters/ha),occupancy,henslows_sparrow,standard_error,-1.17,1425,NA,0.25,NA,NA,NA,obligate,TRUE,NA
5HV7T7SJ,Herse et al. 2020,edge_and_shrub_habitat,occupancy,Edge density (meters/ha),occupancy,greater_prairie_chicken,standard_error,-0.76,1425,NA,0.18,NA,NA,NA,obligate,TRUE,NA
5HV7T7SJ,Herse et al. 2020,edge_and_shrub_habitat,occupancy,Edge density (meters/ha),occupancy,upland_sandpiper,standard_error,-1.36,1425,NA,0.11,NA,NA,NA,obligate,TRUE,NA
RQ3HNXCK,Hill and Diefenbach 2013,edge_and_shrub_habitat,nest_success,Distance to nearest shrub,daily nest survival,grasshopper_sparrow_henslows_sparrow,standard_error; confidence_intervals,0.03,215,NA,0.14,-0.24,0.31,NA,facultative,TRUE,daily_survival
CG2GVC3K,Hill et al. 2014,eliminate_pesticides,population_trend,Lethal insecticide risk,Population trend,all_species,standard_error,0.47,51750,NA,0.34,NA,NA,Positive values represent correlation between the population trend and the predictor variable,NA,TRUE,NA
U6X2F2MA,Hovick et al. 2014,prescribed_fire,occupancy,Time since burned and grazed,Occupancy,savannah_sparrow,confidence_intervals,-0.56,24,NA,NA,-3.15,2.03,NA,obligate,TRUE,NA
U6X2F2MA,Hovick et al. 2014,provide_overwintering_habitat,occupancy,Time since burned and grazed,Occupancy,savannah_sparrow,confidence_intervals,-0.56,24,NA,NA,-3.15,2.03,NA,obligate,TRUE,NA
U6X2F2MA,Hovick et al. 2014,prescribed_fire,occupancy,Time since burned and grazed,Occupancy,meadowlark_spp,confidence_intervals,0.38,24,NA,NA,-0.86,1.62,NA,obligate,TRUE,NA
U6X2F2MA,Hovick et al. 2014,provide_overwintering_habitat,occupancy,Time since burned and grazed,Occupancy,meadowlark_spp,confidence_intervals,0.38,24,NA,NA,-0.86,1.62,NA,obligate,TRUE,NA
U6X2F2MA,Hovick et al. 2014,prescribed_fire,occupancy,Time since burned and grazed,Occupancy,smiths_longspur,confidence_intervals,-0.81,24,NA,NA,-1.86,0.23,NA,obligate,TRUE,NA
U6X2F2MA,Hovick et al. 2014,provide_overwintering_habitat,occupancy,Time since burned and grazed,Occupancy,smiths_longspur,confidence_intervals,-0.81,24,NA,NA,-1.86,0.23,NA,obligate,TRUE,NA
U6X2F2MA,Hovick et al. 2014,prescribed_fire,occupancy,Time since burned and grazed,Occupancy,le_contes_sparrow,confidence_intervals,18.6,24,NA,NA,18.2,19.1,NA,obligate,TRUE,NA
U6X2F2MA,Hovick et al. 2014,provide_overwintering_habitat,occupancy,Time since burned and grazed,Occupancy,le_contes_sparrow,confidence_intervals,18.6,24,NA,NA,18.2,19.1,NA,obligate,TRUE,NA
FSN2F7S7,Irvin et al. 2013,edge_and_shrub_habitat,occupancy,Shrubland percent landcover,occupancy,grasshopper_sparrow,confidence_intervals,-0.5,342,NA,NA,-0.73,-0.27,NA,obligate,TRUE,NA
VLD8MM52,Jorge et al. 2022,prescribed_fire,species_richness,Pyrodiversity,species_richness,all_species,confidence_intervals,0.136,34,NA,NA,0.009,0.26,"Pyrodiversity is described as the number of unique times since fire (years; 2001–2018) values, based on growing seasons, at the time of the survey within a 500 m buffer around the survey site",NA,TRUE,NA
VLD8MM52,Jorge et al. 2022,manage_in_patches,species_richness,Pyrodiversity,species_richness,all_species,confidence_intervals,0.136,34,NA,NA,0.009,0.26,"Pyrodiversity is described as the number of unique times since fire (years; 2001–2018) values, based on growing seasons, at the time of the survey within a 500 m buffer around the survey site",NA,TRUE,NA
HS58V728,Kalinowski and Johnson 2010,edge_and_shrub_habitat,species_richness,Shrub cover,species_richness,all_species,standard_error,39.99,75,NA,13.75,NA,NA,NA,NA,TRUE,NA
HS58V728,Kalinowski and Johnson 2010,provide_overwintering_habitat,species_richness,Shrub cover,species_richness,all_species,standard_error,39.99,75,NA,13.75,NA,NA,NA,NA,TRUE,NA
HS58V728,Kalinowski and Johnson 2010,edge_and_shrub_habitat,abundance,Shrub cover,total abundance,all_species,standard_error,123.92,75,NA,44.09,NA,NA,NA,NA,TRUE,NA
HS58V728,Kalinowski and Johnson 2010,provide_overwintering_habitat,abundance,Shrub cover,total abundance,all_species,standard_error,123.92,75,NA,44.09,NA,NA,NA,NA,TRUE,NA
2DXYTUJ6,Kempema et al. 2023,edge_and_shrub_habitat,abundance,Shrub cover,density,grasshopper_sparrow,standard_error,4.11,12,NA,6.47,NA,NA,NA,obligate,TRUE,NA
2DXYTUJ6,Kempema et al. 2023,reduce_grazing_intensity,abundance,Growing season stocking rate,density,lark_sparrow,standard_error,-5.728,12,NA,2.42,NA,NA,NA,facultative,TRUE,NA
2DXYTUJ6,Kempema et al. 2023,edge_and_shrub_habitat,abundance,Shrub cover,density,upland_sandpiper,standard_error,-1.06,12,NA,0.47,NA,NA,NA,obligate,TRUE,NA
2DXYTUJ6,Kempema et al. 2023,edge_and_shrub_habitat,abundance,Shrub cover,density,lark_sparrow,standard_error,1.63,12,NA,1.91,NA,NA,NA,facultative,TRUE,NA
2DXYTUJ6,Kempema et al. 2023,edge_and_shrub_habitat,abundance,Shrub cover,density,western_meadowlark,standard_error,0.26,12,NA,1.99,NA,NA,NA,obligate,TRUE,NA
9DBEECAJ,Kraft et al. 2021,reduce_grazing_intensity,nest_success,Grazing pressure (Animal unit months),DSR,lesser_prairie_chicken,confidence_intervals,-1.53,37,NA,NA,-3.36,0.29,NA,obligate,TRUE,daily_survival
2BU4YWHR,Lennon et al. 2019,eliminate_pesticides,population_trend,Cumulative pesticide use (1994 - year of observation),population growth rate (1995 - 2014),corn_bunting,standard_error,4.49e-4,NA,NA,5.42e-4,NA,NA,NA,obligate,TRUE,NA
2BU4YWHR,Lennon et al. 2019,eliminate_pesticides,population_trend,Cumulative pesticide use (1994 - year of observation),population growth rate (1995 - 2014),northern_lapwing,standard_error,7.22e-4,NA,NA,3.96e-4,NA,NA,NA,obligate,TRUE,NA
2BU4YWHR,Lennon et al. 2019,eliminate_pesticides,population_trend,Cumulative pesticide use (1994 - year of observation),population growth rate (1995 - 2014),eurasian_skylark,standard_error,-2.98e-4,NA,NA,1.43e-4,NA,NA,NA,facultative,TRUE,NA
2BU4YWHR,Lennon et al. 2019,eliminate_pesticides,population_trend,Cumulative pesticide use (1994 - year of observation),population growth rate (1995 - 2014),yellowhammer,standard_error,4.48e-4,15096,NA,2.12e-4,NA,NA,NA,shrub,FALSE,NA
TT2CGMG8,Li et al. 2020,eliminate_pesticides,species_richness,100 kg increase per county in aggregate neonicitinoid use,species_richness,grassland_species,confidence_intervals,-0.5,NA,NA,NA,-0.8,-0.2,NA,facultative,TRUE,NA
TT2CGMG8,Li et al. 2020,eliminate_pesticides,species_richness,100 kg increase per county in aggregate neonicitinoid use,shannon index,grassland_species,confidence_intervals,-0.4,NA,NA,NA,-0.6,-0.2,NA,facultative,TRUE,NA
TT2CGMG8,Li et al. 2020,eliminate_pesticides,abundance,100 kg increase per county in aggregate neonicitinoid use,bird abundance,grassland_species,confidence_intervals,-2.2,NA,NA,NA,-3.3,-1.1,NA,facultative,TRUE,NA
TT2CGMG8,Li et al. 2020,eliminate_pesticides,species_richness,100 kg increase per county in aggregate neonicitinoid use,species_richness,non_grassland_species,confidence_intervals,-0.5,NA,NA,NA,-0.8,-0.2,NA,shrub,FALSE,NA
TT2CGMG8,Li et al. 2020,eliminate_pesticides,species_richness,100 kg increase per county in aggregate neonicitinoid use,shannon index,non_grassland_species,confidence_intervals,-0.05,NA,NA,NA,-0.12,0.02,NA,shrub,FALSE,NA
TT2CGMG8,Li et al. 2020,eliminate_pesticides,abundance,100 kg increase per county in aggregate neonicitinoid use,bird abundance,non_grassland_species,confidence_intervals,-1.4,NA,NA,NA,-0.8,-0.2,NA,shrub,FALSE,NA
TT2CGMG8,Li et al. 2020,eliminate_pesticides,species_richness,100 kg increase per county in aggregate neonicitinoid use,species_richness,insectivores,confidence_intervals,-0.08,NA,NA,NA,-0.48,0.32,NA,shrub,FALSE,NA
TT2CGMG8,Li et al. 2020,eliminate_pesticides,species_richness,100 kg increase per county in aggregate neonicitinoid use,shannon index,insectivores,confidence_intervals,-0.1,NA,NA,NA,-0.3,0.1,NA,shrub,FALSE,NA
TT2CGMG8,Li et al. 2020,eliminate_pesticides,abundance,100 kg increase per county in aggregate neonicitinoid use,abundance,insectivores,confidence_intervals,-1.6,NA,NA,NA,-2.5,-0.7,NA,shrub,FALSE,NA
TT2CGMG8,Li et al. 2020,eliminate_pesticides,species_richness,100 kg increase per county in aggregate neonicitinoid use,species_richness,non_insectivores,confidence_intervals,-0.5,NA,NA,NA,-0.8,-0.2,NA,shrub,FALSE,NA
TT2CGMG8,Li et al. 2020,eliminate_pesticides,species_richness,100 kg increase per county in aggregate neonicitinoid use,shannon index,non_insectivores,confidence_intervals,-0.07,NA,NA,NA,-0.14,0,NA,shrub,FALSE,NA
TT2CGMG8,Li et al. 2020,eliminate_pesticides,abundance,100 kg increase per county in aggregate neonicitinoid use,abundance,non_insectivores,confidence_intervals,-1.5,NA,NA,NA,-2.1,-0.9,NA,shrub,FALSE,NA
ZMNWEWJF,Lipsey and Naugle 2017,reduce_grazing_intensity,abundance,Proportion dry weight removed by livestock,abundance,bairds_sparrow,standard_error,-1.26,818,NA,0.788,NA,NA,NA,obligate,TRUE,NA
ZMNWEWJF,Lipsey and Naugle 2017,reduce_grazing_intensity,abundance,Proportion dry weight removed by livestock,abundance,savannah_sparrow,standard_error,-0.72,818,NA,1.266,NA,NA,NA,obligate,TRUE,NA
ZMNWEWJF,Lipsey and Naugle 2017,reduce_grazing_intensity,abundance,Proportion dry weight removed by livestock,abundance,grasshopper_sparrow,standard_error,-0.37,818,NA,0.556,NA,NA,NA,obligate,TRUE,NA
ZMNWEWJF,Lipsey and Naugle 2017,reduce_grazing_intensity,abundance,Proportion dry weight removed by livestock,abundance,spragues_pipit,standard_error,-0.1,818,NA,0.557,NA,NA,NA,obligate,TRUE,NA
ZMNWEWJF,Lipsey and Naugle 2017,reduce_grazing_intensity,abundance,Proportion dry weight removed by livestock,abundance,horned_lark,standard_error,0.11,818,NA,0.405,NA,NA,NA,obligate,TRUE,NA
ZMNWEWJF,Lipsey and Naugle 2017,reduce_grazing_intensity,abundance,Proportion dry weight removed by livestock,abundance,mccowns_longspur,standard_error,0.47,818,NA,1.005,NA,NA,NA,obligate,TRUE,NA
ZMNWEWJF,Lipsey and Naugle 2017,reduce_grazing_intensity,abundance,Proportion dry weight removed by livestock,abundance,chestnut_collared_longspur,standard_error,1.18,818,NA,0.341,NA,NA,NA,obligate,TRUE,NA
R2NSJ9PI,Lituma et al. 2022,edge_and_shrub_habitat,abundance,Forest edge in the landscape,abundance,red_winged_blackbird,confidence_intervals,-0.053,14,NA,NA,-0.091,-0.016,NA,facultative,TRUE,NA
R2NSJ9PI,Lituma et al. 2022,edge_and_shrub_habitat,abundance,Forest edge in the landscape,abundance,henslows_sparrow,confidence_intervals,-0.021,14,NA,NA,-0.092,0.049,NA,obligate,TRUE,NA
R2NSJ9PI,Lituma et al. 2022,edge_and_shrub_habitat,abundance,Forest edge in the landscape,abundance,field_sparrow,confidence_intervals,0.03,14,NA,NA,0.008,0.06,NA,facultative,TRUE,NA
KWCVCTJ9,Lockhart and Koper 2018,edge_and_shrub_habitat,abundance,Landscape shape index,abundance,obligate_grassland_species,standard_error; confidence_intervals,-0.318,188,NA,0.077,-0.469,-0.167,NA,obligate,TRUE,NA
KWCVCTJ9,Lockhart and Koper 2018,edge_and_shrub_habitat,species_richness,Landscape shape index,species_richness,obligate_grassland_species,standard_error; confidence_intervals,-0.137,188,NA,0.034,-0.204,-0.07,NA,obligate,TRUE,NA
KWCVCTJ9,Lockhart and Koper 2018,edge_and_shrub_habitat,abundance,Landscape shape index,abundance,grasshopper_sparrow,standard_error; confidence_intervals,-0.173,188,NA,0.116,-0.4,0.054,NA,obligate,TRUE,NA
KWCVCTJ9,Lockhart and Koper 2018,edge_and_shrub_habitat,abundance,Landscape shape index,abundance,savannah_sparrow,standard_error; confidence_intervals,-0.064,188,NA,0.023,-0.109,-0.019,NA,obligate,TRUE,NA
KWCVCTJ9,Lockhart and Koper 2018,edge_and_shrub_habitat,abundance,Landscape shape index,abundance,facultative_grassland_species,standard_error; confidence_intervals,0.006,188,NA,0.018,-0.006,0.01,NA,facultative,TRUE,NA
KWCVCTJ9,Lockhart and Koper 2018,edge_and_shrub_habitat,species_richness,Landscape shape index,abundance,facultative_grassland_species,standard_error; confidence_intervals,0.003,188,NA,0.012,-0.021,0.026,NA,facultative,TRUE,NA
KWCVCTJ9,Lockhart and Koper 2018,edge_and_shrub_habitat,abundance,Landscape shape index,abundance,brown_headed_cowbird,standard_error; confidence_intervals,-0.055,188,NA,0.017,-0.088,-0.022,NA,facultative,TRUE,NA
KWCVCTJ9,Lockhart and Koper 2018,edge_and_shrub_habitat,abundance,Landscape shape index,abundance,red_winged_blackbird,standard_error; confidence_intervals,0.118,188,NA,0.058,0.004,0.232,NA,facultative,TRUE,NA
DNJ2A44M,Long et al. 2012,prescribed_fire,nest_success,Shrub density,Daily survival rate,lark_sparrow,confidence_intervals,-0.001,318,NA,NA,-1e-4,1e-4,NA,facultative,TRUE,daily_survival
A4K99KR6,Massa et al. 2024,prescribed_fire,occupancy,A point being burned within the last 2 years,occupancy,grasshopper_sparrow,confidence_intervals,1.34,101,NA,NA,0.52,2.16,85% confidence interval,obligate,TRUE,NA
W27GJ5EW,McDonald and Koper 2022,edge_and_shrub_habitat,abundance,Shrub cover,abundance,le_contes_sparrow,standard_error; confidence_intervals,-0.032,20,NA,0.02,-0.061,-0.00358,85% confidence interval,obligate,TRUE,NA
NC58WG7N,McLaughlin et al. 2014,edge_and_shrub_habitat,occupancy,Edge-to-interior ratio,occupancy,dickcissel,standard_error,-160.9,28,NA,66.3,NA,NA,Totally normal and fine beta,obligate,TRUE,NA
NC58WG7N,McLaughlin et al. 2014,edge_and_shrub_habitat,occupancy,Shrub density,occupancy,grasshopper_sparrow,standard_error,7.4,28,NA,3.4,NA,NA,Totally normal and fine beta,obligate,TRUE,NA
NC58WG7N,McLaughlin et al. 2014,edge_and_shrub_habitat,abundance,Shrub density,density,grasshopper_sparrow,standard_error,0.19,28,NA,0.09,NA,NA,NA,obligate,TRUE,NA
SKTLJM84,Mineau et al. 2005,eliminate_pesticides,population_trend,Granular pesticide index,population trend (1971 - 1996),american_goldfinch,standard_error,-0.08,29,NA,0.06,NA,NA,NA,facultative,TRUE,NA
SKTLJM84,Mineau et al. 2005,eliminate_pesticides,population_trend,Granular pesticide index,population trend (1971 - 1996),bobolink,standard_error,-0.26,29,NA,0.14,NA,NA,NA,obligate,TRUE,NA
SKTLJM84,Mineau et al. 2005,eliminate_pesticides,population_trend,Granular pesticide index,population trend (1971 - 1996),grasshopper_sparrow,standard_error,-0.19,29,NA,0.3,NA,NA,NA,obligate,TRUE,NA
SKTLJM84,Mineau et al. 2005,eliminate_pesticides,population_trend,Granular pesticide index,population trend (1971 - 1996),horned_lark,standard_error,-0.19,29,NA,0.07,NA,NA,NA,obligate,TRUE,NA
SKTLJM84,Mineau et al. 2005,eliminate_pesticides,population_trend,Granular pesticide index,population trend (1971 - 1996),loggerhead_shrike,standard_error,0.17,29,NA,0.08,NA,NA,NA,facultative,TRUE,NA
SKTLJM84,Mineau et al. 2005,eliminate_pesticides,population_trend,Granular pesticide index,population trend (1971 - 1996),northern_harrier,standard_error,0.11,29,NA,0.1,NA,NA,NA,obligate,TRUE,NA
SKTLJM84,Mineau et al. 2005,eliminate_pesticides,population_trend,Granular pesticide index,population trend (1971 - 1996),red_winged_blackbird,standard_error,-0.03,29,NA,0.04,NA,NA,NA,facultative,TRUE,NA
SKTLJM84,Mineau et al. 2005,eliminate_pesticides,population_trend,Granular pesticide index,population trend (1971 - 1996),savannah_sparrow,standard_error,0.01,29,NA,0.08,NA,NA,NA,obligate,TRUE,NA
