key,paper,bmp,response_class,Treatment,Control,response_var,species,error_class,xbar_e,n_e,sd_e,se_e,lcl_e,ucl_e,xbar_c,n_c,sd_c,se_c,lcl_c,ucl_c,notes
N87HY4T4,Allen et al. 2019,Manage fields in patches,abundance,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,abundance 2014,eastern_meadowlark,standard_error,0.23,5,NA,0.16,NA,NA,0.74,5,NA,0.27,NA,NA,Pretty cool way to test the manage fields in patches idea!
N87HY4T4,Allen et al. 2019,Manage fields in patches,abundance,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,abundance 2015,eastern_meadowlark,standard_error,1.32,5,NA,0.81,NA,NA,0.49,5,NA,0.33,NA,NA,Pretty cool way to test the manage fields in patches idea!
N87HY4T4,Allen et al. 2019,Manage fields in patches,abundance,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,abundance 2016,eastern_meadowlark,standard_error,0.33,5,NA,0.2,NA,NA,0.48,5,NA,0.48,NA,NA,Pretty cool way to test the manage fields in patches idea!
RI9YTV8X,Bakker and Higgins 2009,Plant native warm season grasses (NWSGs) and wildflowers,abundance,NWSG grass mix,CSG grass mix,density,dickcissel,standard_deviation,9.6,26,5.6,NA,NA,NA,36.8,19,16.2,NA,NA,NA,"Looks like SD, but was no readable?"
RI9YTV8X,Bakker and Higgins 2009,Plant native warm season grasses (NWSGs) and wildflowers,abundance,NWSG grass mix,CSG grass mix,abundance,grasshopper_sparrow,standard_deviation,53.8,26,16.6,NA,NA,NA,26.3,19,13.4,NA,NA,NA,"Looks like SD, but was no readable?"
RI9YTV8X,Bakker and Higgins 2009,Plant native warm season grasses (NWSGs) and wildflowers,abundance,NWSG grass mix,CSG grass mix,density,savannah_sparrow,standard_deviation,21.2,26,6.9,NA,NA,NA,15.8,19,7.7,NA,NA,NA,"Looks like SD, but was no readable?"
RI9YTV8X,Bakker and Higgins 2009,Plant native warm season grasses (NWSGs) and wildflowers,abundance,NWSG grass mix,CSG grass mix,density,red_winged_blackbird,standard_deviation,55.8,26,14.8,NA,NA,NA,81.6,19,15.9,NA,NA,NA,"Looks like SD, but was no readable?"
RI9YTV8X,Bakker and Higgins 2009,Plant native warm season grasses (NWSGs) and wildflowers,abundance,NWSG grass mix,CSG grass mix,density,bobolink,standard_deviation,65.4,26,8.1,NA,NA,NA,50,19,13.7,NA,NA,NA,"Looks like SD, but was no readable?"
RI9YTV8X,Bakker and Higgins 2009,Plant native warm season grasses (NWSGs) and wildflowers,abundance,NWSG grass mix,CSG grass mix,density,western_meadowlark,standard_deviation,44.2,26,14.2,NA,NA,NA,23.7,19,11.1,NA,NA,NA,"Looks like SD, but was no readable?"
3NTX2A2K,Benson et al. 2011,Prescribed fire,abundance,Year of burn,Unburned,density,red_winged_blackbird,standard_error,0.64,10,NA,0.13,NA,NA,1.19,10,NA,0.24,NA,NA,NA
3NTX2A2K,Benson et al. 2011,Prescribed fire,abundance,1-year post-burn,Unburned,density,red_winged_blackbird,standard_error,0.24,4,NA,0.06,NA,NA,0.92,9,NA,0.21,NA,NA,NA
3NTX2A2K,Benson et al. 2011,Prescribed fire,abundance,Year of burn,Unburned,density,dickcissel,standard_error,0.68,10,NA,0.17,NA,NA,0.7,10,NA,0.15,NA,NA,NA
3NTX2A2K,Benson et al. 2011,Prescribed fire,abundance,1-year post-burn,Unburned,density,dickcissel,standard_error,0.58,4,NA,0.12,NA,NA,0.75,9,NA,0.17,NA,NA,NA
3NTX2A2K,Benson et al. 2011,Prescribed fire,abundance,Year of burn,Unburned,density,common_yellowthroat,standard_error,0.06,10,NA,0.02,NA,NA,0.43,10,NA,0.11,NA,NA,NA
3NTX2A2K,Benson et al. 2011,Prescribed fire,abundance,1-year post-burn,Unburned,density,common_yellowthroat,standard_error,0.03,4,NA,0.03,NA,NA,0.15,9,NA,0.07,NA,NA,NA
3NTX2A2K,Benson et al. 2011,Prescribed fire,abundance,Year of burn,Unburned,density,american_goldfinch,standard_error,0.1,10,NA,0.03,NA,NA,0.1,10,NA,0.03,NA,NA,NA
3NTX2A2K,Benson et al. 2011,Prescribed fire,abundance,1-year post-burn,Unburned,density,american_goldfinch,standard_error,0.03,4,NA,0.03,NA,NA,0.07,9,NA,0.04,NA,NA,NA
3NTX2A2K,Benson et al. 2011,Prescribed fire,abundance,Year of burn,Unburned,density,grasshopper_sparrow,standard_error,0.06,10,NA,0.06,NA,NA,0,10,NA,0,NA,NA,NA
3NTX2A2K,Benson et al. 2011,Prescribed fire,abundance,1-year post-burn,Unburned,density,grasshopper_sparrow,standard_error,0.06,4,NA,0.04,NA,NA,0.02,9,NA,0.01,NA,NA,NA
3NTX2A2K,Benson et al. 2011,Prescribed fire,species_richness,Year of burn,Unburned,species_richness,all_species,standard_error,5.7,10,NA,0.33,NA,NA,5.8,10,NA,0.39,NA,NA,NA
3NTX2A2K,Benson et al. 2011,Prescribed fire,species_richness,1-year post-burn,Unburned,species_richness,all_species,standard_error,4,4,NA,0.41,NA,NA,5,9,NA,0.67,NA,NA,NA
U3SWA47K,Berges et al. 2010,Stream exclusion and buffer plantings,species_richness,Riparian buffer (2 yr.),pasture,species_richness,all_species,standard_error,18.5,4,NA,0.5,NA,NA,11.5,4,NA,0.5,NA,NA,Estimated from plot; sites were measured before and after buffer plantings
U3SWA47K,Berges et al. 2010,Stream exclusion and buffer plantings,species_richness,Riparian buffer (2 yr.),crop,species_richness,all_species,standard_error,18.5,4,NA,0.5,NA,NA,14.5,4,NA,0.5,NA,NA,Estimated from plot; sites were measured before and after buffer plantings
U3SWA47K,Berges et al. 2010,Stream exclusion and buffer plantings,abundance,Riparian buffer (2 yr.),pasture,abundance,all_species,standard_error,43,4,NA,2,NA,NA,26,4,NA,2,NA,NA,Estimated from plot; sites were measured before and after buffer plantings
U3SWA47K,Berges et al. 2010,Stream exclusion and buffer plantings,abundance,Riparian buffer (2 yr.),crop,abundance,all_species,standard_error,43,4,NA,2,NA,NA,25,4,NA,1.5,NA,NA,Estimated from plot; sites were measured before and after buffer plantings
55UE5VCT,Blank et al. 2011,Stream exclusion and buffer plantings; Edge and shrub habitat,abundance,filter strips,non-buffered field edges,density,breeding_grassland_species,confidence_intervals,1.9,67,NA,NA,1.3,2.7,0.2,15,NA,NA,-0.2,0.7,NA
55UE5VCT,Blank et al. 2011,Plant native warm season grasses (NWSGs) and wildflowers,abundance,Warm-season grass filter strips,Cool-season grass filter strips,density,common_yellowthroat,confidence_intervals,0.9,45,NA,NA,0.5,1.4,0.3,22,NA,NA,0,0.8,"They only report these stats because there was a detectable difference for this species. For all other species, there was not a detectable difference."
55UE5VCT,Blank et al. 2011,Stream exclusion and buffer plantings; Edge and shrub habitat,abundance,narrow filter strips (<30),medium filter strips (30-60 m),density,breeding_grassland_species,confidence_intervals,1.8,35,NA,NA,0.9,3.1,2.4,14,NA,NA,1,4.8,NA
55UE5VCT,Blank et al. 2011,Stream exclusion and buffer plantings; Edge and shrub habitat,abundance,narrow filter strips (<30),wide filter strips (>60 m),density,breeding_grassland_species,confidence_intervals,1.8,35,NA,NA,0.9,3.1,2,18,NA,NA,0.9,3.6,NA
55UE5VCT,Blank et al. 2011,Stream exclusion and buffer plantings; Edge and shrub habitat,abundance,medium filter strips (30-60 m),wide filter strips (>60 m),density,breeding_grassland_species,confidence_intervals,2.4,14,NA,NA,1,4.8,2,18,NA,NA,0.9,3.6,NA
7SS4IEI5,Blank et al. 2011b,Provide overwintering habitat; Stream exclusion and buffer plantings; Delay hay,abundance,unmowed buffers,mowed buffers,winter density (birds/10 ha),american_kestrel,standard_deviation,0.1,13,0.5,NA,NA,NA,0,13,0,NA,NA,NA,"For the delay hay treatment, the treatment and control should be switched"
7SS4IEI5,Blank et al. 2011b,Provide overwintering habitat; Stream exclusion and buffer plantings; Delay hay,abundance,unmowed buffers,mowed buffers,winter density (birds/10 ha),eastern_bluebird,standard_deviation,0.1,13,4,NA,NA,NA,0,13,0,NA,NA,NA,"For the delay hay treatment, the treatment and control should be switched"
7SS4IEI5,Blank et al. 2011b,Provide overwintering habitat; Stream exclusion and buffer plantings; Delay hay,abundance,unmowed buffers,mowed buffers,winter density (birds/10 ha),field_sparrow,standard_deviation,11.3,13,34.7,NA,NA,NA,0,13,0,NA,NA,NA,"For the delay hay treatment, the treatment and control should be switched"
7SS4IEI5,Blank et al. 2011b,Provide overwintering habitat; Stream exclusion and buffer plantings; Delay hay,abundance,unmowed buffers,mowed buffers,winter density (birds/10 ha),savannah_sparrow,standard_deviation,7.2,13,16.2,NA,NA,NA,0.6,13,2.1,NA,NA,NA,"For the delay hay treatment, the treatment and control should be switched"
7SS4IEI5,Blank et al. 2011b,Provide overwintering habitat; Stream exclusion and buffer plantings; Delay hay,abundance,unmowed buffers,mowed buffers,winter density (birds/10 ha),song_sparrow,standard_deviation,70.1,13,60.1,NA,NA,NA,2.1,13,5.3,NA,NA,NA,"For the delay hay treatment, the treatment and control should be switched"
7SS4IEI5,Blank et al. 2011b,Provide overwintering habitat; Stream exclusion and buffer plantings; Delay hay,abundance,unmowed buffers,mowed buffers,winter density (birds/10 ha),swamp_sparrow,standard_deviation,5.5,13,13.3,NA,NA,NA,0,13,0,NA,NA,NA,"For the delay hay treatment, the treatment and control should be switched"
7SS4IEI5,Blank et al. 2011b,Provide overwintering habitat; Stream exclusion and buffer plantings; Delay hay,abundance,unmowed buffers,mowed buffers,winter density (birds/10 ha),white_throated_sparrow,standard_deviation,15.9,13,51,NA,NA,NA,1.6,13,5.7,NA,NA,NA,"For the delay hay treatment, the treatment and control should be switched"
7SS4IEI5,Blank et al. 2011b,Provide overwintering habitat; Stream exclusion and buffer plantings; Delay hay,abundance,unmowed buffers,mowed buffers,winter density (birds/10 ha),dark_eyed_junco,standard_deviation,3.4,13,12.2,NA,NA,NA,0.7,13,2.4,NA,NA,NA,"For the delay hay treatment, the treatment and control should be switched"
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,montezuma_quail,standard_error,0.33,7,NA,0.33,NA,NA,0,7,NA,0,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,montezuma_quail,standard_error,0,7,NA,0,NA,NA,0,7,NA,0,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,scaled_quail,standard_error,0.24,7,NA,0.24,NA,NA,0,7,NA,0,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,scaled_quail,standard_error,0.18,7,NA,0.18,NA,NA,0.21,7,NA,0.21,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,mourning_dove,standard_error,0.29,7,NA,0.24,NA,NA,0.24,7,NA,0.16,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,mourning_dove,standard_error,1.36,7,NA,0.48,NA,NA,1.86,7,NA,0.74,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,horned_lark,standard_error,2.05,7,NA,1.2,NA,NA,2.38,7,NA,1.6,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,horned_lark,standard_error,2.25,7,NA,2.13,NA,NA,3.43,7,NA,1.98,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,canyon_towhee,standard_error,0.52,7,NA,0.23,NA,NA,0.14,7,NA,0.1,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,canyon_towhee,standard_error,0.5,7,NA,0.26,NA,NA,0.21,7,NA,0.1,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,cassins_sparrow,standard_error,0.1,7,NA,0.1,NA,NA,0,7,NA,0,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,cassins_sparrow,standard_error,0.96,7,NA,0.45,NA,NA,0,7,NA,0,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,rufous_crowned_sparrow,standard_error,0.95,7,NA,0.11,NA,NA,0.1,7,NA,0.1,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,rufous_crowned_sparrow,standard_error,1.04,7,NA,0.32,NA,NA,0.07,7,NA,0.07,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,chipping_sparrow,standard_error,1.67,7,NA,1.03,NA,NA,0.52,7,NA,0.36,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,chipping_sparrow,standard_error,5.71,7,NA,1.66,NA,NA,6,7,NA,2.8,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,vesper_sparrow,standard_error,1.76,7,NA,0.64,NA,NA,0,7,NA,0,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,vesper_sparrow,standard_error,8.96,7,NA,2.67,NA,NA,2.89,7,NA,1.61,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,lark_sparrow,standard_error,0,7,NA,0,NA,NA,0,7,NA,0,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,lark_sparrow,standard_error,0,7,NA,0,NA,NA,0.07,7,NA,0.07,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,lark_bunting,standard_error,0,7,NA,0,NA,NA,0,7,NA,0,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,lark_bunting,standard_error,0.39,7,NA,0.39,NA,NA,0.21,7,NA,0.21,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,grasshopper_sparrow,standard_error,0.1,7,NA,0.1,NA,NA,0,7,NA,0,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,grasshopper_sparrow,standard_error,1.96,7,NA,0.47,NA,NA,0,7,NA,0,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,dark_eyed_junco,standard_error,1.14,7,NA,0.48,NA,NA,0,7,NA,0,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,dark_eyed_junco,standard_error,0.18,7,NA,0.18,NA,NA,0.25,7,NA,0.21,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,chestnut_collared_longspur,standard_error,0,7,NA,0,NA,NA,0,7,NA,0,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,chestnut_collared_longspur,standard_error,1.79,7,NA,1.79,NA,NA,0,7,NA,0,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,eastern_meadowlark,standard_error,1.19,7,NA,0.66,NA,NA,0.05,7,NA,0.05,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,eastern_meadowlark,standard_error,1.14,7,NA,0.6,NA,NA,0.39,7,NA,0.24,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,house_finch,standard_error,0.19,7,NA,0.19,NA,NA,0,7,NA,0,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,house_finch,standard_error,0,7,NA,0,NA,NA,0,7,NA,0,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,northern_harrier,standard_error,0.1,7,NA,0.06,NA,NA,0,7,NA,0,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,northern_harrier,standard_error,0.07,7,NA,0.05,NA,NA,0,7,NA,0,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,red_tailed_hawk,standard_error,0.1,7,NA,0.1,NA,NA,0.05,7,NA,0.05,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,red_tailed_hawk,standard_error,0.07,7,NA,0.05,NA,NA,0.11,7,NA,0.07,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,american_kestrel,standard_error,0.1,7,NA,0.06,NA,NA,0.1,7,NA,0.06,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,american_kestrel,standard_error,0.21,7,NA,0.1,NA,NA,0.18,7,NA,0.07,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,northern_flicker,standard_error,0.29,7,NA,0.2,NA,NA,0.19,7,NA,0.14,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,northern_flicker,standard_error,0.29,7,NA,0.12,NA,NA,0.25,7,NA,0.13,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,says_phoebe,standard_error,0.24,7,NA,0.14,NA,NA,0.38,7,NA,0.14,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,says_phoebe,standard_error,0.04,7,NA,0.04,NA,NA,0.14,7,NA,0.09,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,chihuahuan_raven,standard_error,0.14,7,NA,0.1,NA,NA,0.1,7,NA,0.06,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,chihuahuan_raven,standard_error,0.29,7,NA,0.16,NA,NA,0.39,7,NA,0.16,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,bridled_titmouse,standard_error,0.14,7,NA,0.14,NA,NA,0.33,7,NA,0.22,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,bridled_titmouse,standard_error,0.07,7,NA,0.07,NA,NA,0,7,NA,0,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,eastern_bluebird,standard_error,0.1,7,NA,0.06,NA,NA,0.14,7,NA,0.14,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,eastern_bluebird,standard_error,0,7,NA,0,NA,NA,0,7,NA,0,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,mountain_bluebird,standard_error,0,7,NA,0,NA,NA,0.33,7,NA,0.19,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,mountain_bluebird,standard_error,0,7,NA,0,NA,NA,0,7,NA,0,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 96-97,northern_mockingbird,standard_error,0.14,7,NA,0.14,NA,NA,0.14,7,NA,0.14,NA,NA,NA
IF3VCNWP,Bock and Bock 1999,provide_overwintering_habitat,abundance,Ungrazed,Grazed,abundance - 97-98,northern_mockingbird,standard_error,0.07,7,NA,0.05,NA,NA,0.21,7,NA,0.18,NA,NA,NA
5N6IA9AX,Brand and Noon 2011,remove_non-native_species,nest_success,Native cottonwood stands,Non-native saltcedar stands,percent nest survival,yellow_breasted_chat,standard_error,43,71,NA,7,NA,NA,39,25,NA,11,NA,NA,NA
5N6IA9AX,Brand and Noon 2011,remove_non-native_species,nest_success,Native mesquite stands,Non-native saltcedar stands,percent nest survival,yellow_breasted_chat,standard_error,41,58,NA,7,NA,NA,39,25,NA,11,NA,NA,NA
VEK3WELY,Byers et al. 2017,prescribed_fire,abundance,Burned fields (year of burn),Burned fields (3-years post-burn),nest density (nests/ha),bobolink,standard_error,0.07,9,NA,0.05,NA,NA,0.19,4,NA,0.08,NA,NA,NA
VEK3WELY,Byers et al. 2017,prescribed_fire,abundance,Burned fields (year of burn),Burned fields (3-years post-burn),nest density (nests/ha),eastern_meadowlark,standard_error,0.03,9,NA,0.02,NA,NA,0.22,4,NA,0.08,NA,NA,NA
VEK3WELY,Byers et al. 2017,prescribed_fire,abundance,Burned fields (year of burn),Burned fields (3-years post-burn),nest density (nests/ha),grasshopper_sparrow,standard_error,0.25,9,NA,0.13,NA,NA,0.06,4,NA,0.06,NA,NA,NA
VEK3WELY,Byers et al. 2017,prescribed_fire,abundance,Burned fields (year of burn),Burned fields (3-years post-burn),nest density (nests/ha),henslows_sparrow,standard_error,0,9,NA,0,NA,NA,0.06,4,NA,0.06,NA,NA,NA
VEK3WELY,Byers et al. 2017,prescribed_fire,abundance,Burned fields (1-year post-burn),Burned fields (3-years post-burn),nest density (nests/ha),bobolink,standard_error,0.32,7,NA,0.15,NA,NA,0.19,4,NA,0.08,NA,NA,NA
VEK3WELY,Byers et al. 2017,prescribed_fire,abundance,Burned fields (1-year post-burn),Burned fields (3-years post-burn),nest density (nests/ha),eastern_meadowlark,standard_error,0.19,7,NA,0.06,NA,NA,0.22,4,NA,0.08,NA,NA,NA
VEK3WELY,Byers et al. 2017,prescribed_fire,abundance,Burned fields (1-year post-burn),Burned fields (3-years post-burn),nest density (nests/ha),grasshopper_sparrow,standard_error,0.16,7,NA,0.06,NA,NA,0.06,4,NA,0.06,NA,NA,NA
VEK3WELY,Byers et al. 2017,prescribed_fire,abundance,Burned fields (1-year post-burn),Burned fields (3-years post-burn),nest density (nests/ha),henslows_sparrow,standard_error,0.27,7,NA,0.12,NA,NA,0.06,4,NA,0.06,NA,NA,NA
VEK3WELY,Byers et al. 2017,prescribed_fire,abundance,Burned fields (2-year post-burn),Burned fields (3-years post-burn),nest density (nests/ha),bobolink,standard_error,0.4,8,NA,0.22,NA,NA,0.19,4,NA,0.08,NA,NA,NA
VEK3WELY,Byers et al. 2017,prescribed_fire,abundance,Burned fields (2-year post-burn),Burned fields (3-years post-burn),nest density (nests/ha),eastern_meadowlark,standard_error,0.25,8,NA,0.12,NA,NA,0.22,4,NA,0.08,NA,NA,NA
VEK3WELY,Byers et al. 2017,prescribed_fire,abundance,Burned fields (2-year post-burn),Burned fields (3-years post-burn),nest density (nests/ha),grasshopper_sparrow,standard_error,0.05,8,NA,0.03,NA,NA,0.06,4,NA,0.06,NA,NA,NA
VEK3WELY,Byers et al. 2017,prescribed_fire,abundance,Burned fields (2-year post-burn),Burned fields (3-years post-burn),nest density (nests/ha),henslows_sparrow,standard_error,0.05,8,NA,0.02,NA,NA,0.06,4,NA,0.06,NA,NA,NA
DY9N6UPD,Churchwell et al. 2008,Prescribed fire; Manage fields in patches,nest_success,Patch burn (current year),traditional management,dsr,dickcissel,standard_error,0.914,27,NA,0.021,NA,NA,0.926,110,NA,0.008,NA,NA,NA
